Abnormality of the breast	HP:0000769
Increased height of chin	None
Vertical excess of chin	None
Long lower third of face	None
Elongated nose	None
Nasal elongation	None
Long nose	None
Increased length of nose	None
Increased nasal height	None
Increased nasal length	None
Increased height of nose	None
Thin lower face	None
Narrow jaw	None
Narrow lower face	None
Narrow lower jaw	None
Thin lower jaw	None
Narrow mandible	None
Wide open anterior fontanelle	None
Wide anterior fontanel	None
Large open anterior fontanelle	None
Wide anterior fontanelle	None
Large anterior fontanelle	None
Large open anterior fontanel	None
Wider-than-typical soft spot of skull	None
Large anterior fontanel	None
Large anterior fontanels	None
Small, peg shaped teeth	None
Small, cone shaped teeth	None
Small, conical teeth	None
Conical microdontia	None
Small, pointed teeth	None
Shovel-shaped maxillary central incisors	None
Shovel tooth	None
Shovel-shaped upper front teeth	None
Abnormality of masseter muscle	None
Trapezius muscle aplasia	None
Extra bones within cranial sutures	None
Islands of bone within cranial sutures	None
Intra sutural bones	None
Intrasutural bones	None
Wormian bones	None
Hyperostosis cranialis interna	None
Overgrowth of the inside of the skull	None
Thick internal surface of the cranial bones	None
Thick inner surface of the skull bones	None
Hyperostosis of the internal surface of the cranial bone	None
Hypertrophy of the internal surface of the cranial bones	None
Hyperostosis of the internal surface of the cranial bones	None
Enlargement of the inner surface of the skull bones	None
Excessive growth of inner surface of the skull bones	None
Increased ossification of the internal surface of the cranial bones	None
Overgrowth of the inner surface of the skull bones	None
Laceration of oral frenulum	None
Oral frenulum, torn	None
Torn oral frenulum	None
Hooded upper eyelid	None
Premature anterior fontanel closure	None
Anomaly of the face	None
Abnormality of the physiognomy	None
Disorder of the face	None
Anomaly of face	None
Abnormality of the face	None
Abnormality of the visage	None
Abnormal face	None
Abnormality of the countenance	None
Facial anomaly	None
Disorder of face	None
Facial abnormality	None
Triangular head shape	None
Wedge shaped head	None
Triangular skull shape	None
Wedge shaped cranium	None
Wedge shaped skull	None
Triangular cranium shape	None
Trigonocephaly	None
Long facies	None
Vertical hyperplasia of face	None
Long face	None
Vertical Facial Excess	None
Vertical overgrowth of face	None
Increased vertical dimension of face	None
Vertical elongation of face	None
Vertical enlargement of face	None
Increased height of face	None
Increased length of face	None
Elongation of face	None
Vertical excess of face	None
Tongue oedema	None
Tongue edema	None
Weakness of orbicularis oculi muscles	None
Weakness of orbicularis oculi muscle	None
Tooth mass insufficiency	None
Decreased tooth mass	None
Hypotrophy of all teeth	None
Decreased size of all teeth	None
Generalized microdontia	None
Decreased width of all teeth	None
Generalised microdontia	None
Pointed incisor	None
Peg shaped incisors	None
Shark tooth incisor	None
Cone shaped front tooth	None
Conoid incisor	None
Pointed front tooth	None
Peg shaped front tooth	None
Conical incisor	None
Peg-shaped incisors	None
Rootless teeth	None
Teeth without roots	None
Absence of tooth root	None
Agenesis of tooth root	None
Aplasia of tooth root	None
Missing tooth root	None
Tooth with dentin dysplasia type i	None
Hyperplasia of parotid gland	None
Hypertrophy of parotid gland	None
Increased size of parotid gland	None
Enlargement of parotid gland	None
Chemosis	None
Defect of palpebral conjunctiva	None
Nasolacrimal sac lymphoma	None
Flame-shaped pulp	None
Thistle tube shaped pulp	None
Bifid palatine uvula	None
Forked uvula	None
Split uvula	None
Cleft of uvula	None
Cleft uvula	None
Uvula bifida	None
Bifid uvula	None
Small nasal bone	None
Underdevelopment of nasal bone	None
Decreased size of nasal bone	None
Hypoplasia of the nasal bone	None
Deficiency of nasal bone	None
Hypotrophic nasal bone	None
Nasal bone hypoplasia	None
Cleft in cranial base	None
Cleft in skull base	None
Absence of mandible	None
Absent mandible	None
Absence of lower jaw	None
Absence of lower jaw bones	None
Agenesis of the mandible	None
Absence of lower jaw bone	None
Failure of development of mandible	None
Agnathia	None
Missing lower jaw	None
Aplasia of the lower jaw bone	None
Mandibular aplasia	None
Failure of development of lower jaw	None
Advanced pneumatization of the mastoid process	None
Radiculomegaly	None
Rhizomegaly	None
Long dental root	None
Root gigantism	None
Hypoplastic nasal septum	None
Decreased size of septum of nose	None
Decreased size of nasal septum	None
Small septum of nose	None
Hypoplasia of septum of nose	None
Small nasal septum	None
Recurrent canker sores	None
Recurrent aphthous ulcers	None
Buccal aphthous ulcers	None
Aphthous stomatitis	None
Recurrent aphthous stomatitis	None
Recurrent oral aphthae	None
Facial weakness	None
Face weakness	None
Weakness of face	None
Weakness of facial musculature	None
Facial muscle weakness	None
Decreased facial muscle strength	None
Myasthenia of facial muscles	None
Reduced facial muscle strength	None
Decreased strength of facial muscles	None
Crooked front teeth	None
Malposition of incisors	None
Crooked incisors	None
Abnormality of alignment of incisors	None
Misalignment of incisors	None
Abnormality of position of incisors	None
Persistent wide fontanel	None
Large fontanel	None
Wide bregma sutures	None
Large fontanels	None
Wide fontanelles	None
Large bregma sutures	None
Large fontanelles	None
Large, late-closing fontanelle	None
Enlarged fontanelles	None
Large fontanelle	None
Orbital craniosynostosis	None
Sebaceous adenoma	None
Sebaceous adenomas	None
Facial angiofibromas	None
Adenoma sebaceum	None
Agenesis of condylar head of mandible	None
Failure of development of the condylar process of mandible	None
Underdevelopment of condylar head of mandible	None
Absence of the condylar head of mandible	None
Absence of the condylar process of mandible	None
Agenesis of condylar process of mandible	None
Underdevelopment of condylar process of mandible	None
Failure of development of condylar neck of mandible	None
Underdevelopment of condylar neck of mandible	None
Agenesis of condylar neck of mandible	None
Absence of the condylar neck of mandible	None
Mandibular condyle aplasia	None
Failure of development of condylar head of mandible	None
Green teeth	None
Green coloured teeth	None
Green tooth shade	None
Green colored teeth	None
Barrel-shaped tooth	None
Cranium bifidum occultum	None
Gemination of tooth	None
Splitting of crown of tooth	None
Gemination	None
Osteosclerosis of the skull base	None
Osteosclerosis of the base of the skull	None
Cleft upper lip	None
Cheiloschisis of upper lip	None
Harelip	None
Cleft of upper lip	None
Increased size of neck muscles	None
Hyperplasia of neck muscles	None
Hypertrophy of cervical muscles	None
Overgrowth of neck muscles	None
Large neck muscles	None
Neck muscle hypertrophy	None
Lingual aplasia/hypoplasia	None
Aplasia/Hypoplasia of the tongue	None
Abnormal distribution of cell junction proteins in buccal mucosal cells	None
Partial hyposmia	None
Conjunctival nodule	None
Flat nasolabial fold	None
Shallow nasolabial fold	None
Underdeveloped nasolabial fold	None
Nasolabial fold, hypoplastic	None
Nasolabial crease, underdeveloped	None
Nasolabial crease, hypoplastic	None
Limited lateral neck flexion	None
Mastoiditis	None
Large, carp-shaped mouth	None
Wide, carp-shaped mouth	None
U-Shaped upper lip vermilion	None
Fish mouth	None
Carp-like mouth	None
Carp-shaped mouth	None
Bossing of parietal bone	None
Parietal bossing	None
Biparietal bossing	None
Failure of development of tongue	None
Missing tongue	None
Aglossia	None
Absence of tongue	None
Puffy eyes	None
Fullness around the eyes	None
Periorbital puffiness	None
Puffiness around eye	None
Periorbital swelling	None
Periorbital fullness	None
Swelling around the eyes	None
Widely patent fontanelles and sutures	None
Widely patent fontanels and sutures	None
Fusion of gums	None
Synechia of the gums	None
Gingival synechia	None
Partial fusion of the gums	None
Upper and lower gums fused together	None
Fusion of the gingiva	None
Pyoderma gangrenosum	None
Angioma serpentinum	None
Progressive systemic scleroderma	None
Pseudoscleroderma	None
Scleroderma	None
Atrophic, patchy alopecia	None
Palmar pits	None
Abnormal dermoepidermal hemidesmosome morphology	None
Flesh-colored papule	None
Skin-colored papule	None
Palmoplantar blistering	None
Increased transverse length of eyebrow	None
Long eyebrows	None
Increased horizontal length of eyebrow	None
Elongated eyebrow	None
Missing skin on limbs since birth	None
Congenital absence of skin of limbs	None
Broad lateral eyebrow	None
Wide lateral eyebrow	None
Multiple palm lines	None
Multiple palmar creases	None
Flattened rete pegs	None
Flattened rete ridges	None
Rete ridge flattening	None
Absent skin pigmentation	None
Lack of skin coloration	None
Trichodiscoma	None
Nevus sebaceus	None
Regional abnormality of skin	None
Leukonychia	None
White discoloration of nails	None
sparse to absent pubic hair	None
Sparse pubic hair	None
Decreased sexual hair	None
Xanthelasma of eyelid	None
Xanthoma of eyelid	None
Xanthelasma of periocular region	None
Xanthelasma	None
Fatty deposits on eyelids	None
Fatty deposits in skin around the eyes	None
Xanthelasma palpebrarum	None
Xanthoma of periocular region	None
Xanthoma	None
Hyperconvex toenail	None
Localized skin lesion	None
Localised skin lesion	None
Blotching pigmentation of the skin	None
Blood spots	None
Red or purple spots on the skin	None
Purpura	None
Urate tophus	None
Urate tophi	None
Chronic nonhealing cutaneous wound	None
Chronic cutaneous wound	None
Angioectasias of the lip	None
Lip telangiectasia	None
Lip telangiectases	None
Telangiectasia of the lips	None
Labial angioectasias	None
Spider veins of the lip	None
Labial telangiectasia	None
Absent fifth toenail	None
Missing fifth toenail	None
Thickened elastic fibers in the dermis	None
Thickened elastic fibres in the dermis	None
Punctate palmoplantar hyperkeratosis	None
Atypical scarring of skin	None
Atypical scarring	None
Hypopigmented upper extremeity skin patches	None
Patchy loss of skin colour on arms	None
Hypopigmented skin patches on arms	None
Patchy loss of skin color on arms	None
Postnatal-onset ichthyosis	None
Postnatal-onset ichthyosiform erythroderma	None
Luse bodies	None
Skin detachment	None
Detached skin	None
Epidermal detachment	None
Skin sloughing	None
Crusting erythematous dermatitis	None
Butterfly facial telangiectasia	None
Facial telangiectasia in butterfly midface distribution	None
Orthokeratosis	None
Cutaneous myxoma	None
Junctional split	None
Lamina lucida cleavage	None
Blistering with junctional split	None
Subepidermal blistering with cleavage in the lamina lucida	None
Aplasia of the eccrine sweat glands	None
Absent eccrine sweat glands	None
Polymorphic vesicular eruption	None
Subungual fibroma	None
Subungual fibromas	None
Subcutaneous spheroids	None
Harlequin phenomenon	None
Striae	None
Striae atrophicae	None
Purplish striae	None
Stretch marks	None
Striae cutis distensae	None
Striae distensae	None
Ecchymoses	None
Ecchymosis	None
Loss of fat around neck	None
Loss of adipose tissue around the neck	None
Decreased adipose tissue around neck	None
Hair displacement, preauricular, towards lateral cheekbone	None
Projection of scalp hair onto lateral cheek	None
Preauricular hair displacement	None
Hair growing down to cheek	None
Fragile skin	None
Skin fragility	None
Cystic acne	None
Albinism	None
Achromasia	None
Melanin pigment aggregation in hair shafts	None
Laterally elongated eyebrow	None
Laterally extended eyebrows	None
Increased lateral length of eyebrow	None
Laterally extended eyebrow	None
Digital pitting scar	None
Melanonychia	None
Postauricular earpits	None
Postauricular fistula	None
Pit behind the ear	None
Posterior auricular pit	None
Posterior auricular sinus	None
Postauricular pit	None
Lingual angioectasias	None
Angioectasias of the tongue	None
Tongue telangiectasia	None
Lingual telangiectasia	None
Spider veins of the tongue	None
Facial papilloma	None
Facial verruca	None
Facial wart	None
Prolonged neonatal jaundice	None
Jaundice, neonatal	None
Prolonged yellowing of skin in newborn	None
Neonatal jaundice	None
Perioral hyperkeratosis	None
Freckles in sun-exposed areas	None
Intercrural pterygium	None
Limited body hair	None
Sparse body hair	None
Sparse to absent body hair	None
Little body hair	None
Herpetiform vesicles	None
Excessive sweating of palms and soles	None
Palmoplantar hyperhidrosis	None
Hyperhidrosis of palms and soles	None
Heliotrope erythema	None
Heliotrope rash	None
Thin hair texture	None
Fine hair shaft	None
Thin hair shaft	None
Thin hair	None
Fine hair	None
Thinned hair	None
Fine hair texture	None
Hyperpigmented nodule	None
Poliosis	None
White patch	None
Patch of white hair	None
Frontotemporal hypertrichosis	None
Asymmetric, linear skin defects	None
Cobblestone-like hyperkeratosis	None
Facial hirsutism	None
Excessive face hair	None
Milphosis	None
Loss of eyelashes	None
Missing eyelashes	None
Ciliary Madarosis	None
Eyelashes fell out	None
Fine, reticulate skin pigmentation	None
Aplasia cutis congenita of midline scalp vertex	None
Decreased sweat pores	None
Decreased sweat glands	None
Decreased number of sweat glands	None
Congenital curved nail of fourth toe	None
Keratoacanthoma	None
Multiple trichilemmomata	None
Multiple trichilemmomas	None
Abnormality of skin adnexa physiology	None
Discoid lupus erythematosus	None
Discoid lupus rash	None
Onychauxis	None
Xerosis	None
Dry skin	None
Millium cyst	None
Milia	None
Milk spot	None
Piezogenic pedal papules	None
Bifid nail	None
duplicated nail	None
Notched nail	None
Failure of development of eyebrows	None
Absent eyebrows	None
Agenesis of eyebrows	None
Missing eyebrows	None
Loss of eyebrows	None
Aplasia of eyebrows	None
Absent eyebrow	None
Poikiloderma	None
Nail bed haemorrhage	None
Nail bed hemorrhage	None
Skin inflammation	None
Abnormal tendency to infections of the skin	None
Inflammatory skin disease	None
Inflammatory abnormality of the skin	None
Dermatitis	None
Armpit cyst	None
Axillary epidermoid cyst	None
Nail psoriasis	None
COVID toe	None
Chilblain-like toes	None
Chilblain-like toe lesions	None
Pseudo-chilblains on toes	None
Facial flushing after alcohol intake	None
Skin pit	None
Skin pits	None
Dorsal hirsutism	None
Vein of servelle	None
Lateral venous anomaly	None
Lateral marginal vein of Servelle	None
Skin adnexal neoplasm	None
Skin appendage neoplasm	None
Skin adnexal tumour	None
Skin adnexal tumor	None
Numerous congenital melanocytic nevi	None
Reduced terminal:vellus ratio	None
Acquired abnormal hair pattern	None
Morbilliform rash	None
Skin hyperelasticity	None
Hyperelastic skin	None
Hyperextensible skin	None
Stretchable skin	None
Skin hyperextensibility	None
Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	None
Breaking out	None
Acne	None
Plethora	None
Keloids	None
Pterygium cubitale	None
Antecubital pterygium	None
Webbed elbow	None
Anonychia	None
Aplastic nails	None
Absent nails	None
Xanthoma striatum palmare	None
Xanthoma palmare striatum	None
Xanthomas of the palmar creases	None
Complex palmar dermatoglyphic pattern	None
Localized abnormal hair growth	None
Localized hirsutism	None
Localised hirsutism	None
Localised abnormal hair growth	None
Multiple pterygia	None
Skin calcification	None
Subcutaneous calcification	None
Linear IgG deposits along the epidermal basement membrane zone	None
Abnormality of the eyebrow	None
Abnormal eyebrow morphology	None
Chronic monilial nail infection	None
Hyperpigmented streaks	None
Abnormality of skin morphology	None
Abnormal skin morphology	None
Abnormal skin structure	None
Genital blistering	None
Flexural lichenification	None
Telangiectasia on the cheeks	None
Telangiectases of the cheeks	None
Localized area of pendulous skin	None
Localised area of pendulous skin	None
Orthokeratotic hyperkeratosis	None
Annular cutaneous lesion	None
Horizontal eyebrow	None
Flat eyebrow	None
Lack of eyebrow curvature	None
Straight eyebrows	None
Straight eyebrow	None
Lack of eyebrow arch	None
Congenital exfoliative erythroderma	None
Deep dermatophytosis	None
Ochronosis	None
Anemic pallor	None
Anaemic pallor	None
Abnormality of the subungual region	None
Underdeveloped major sweat glands	None
Hypoplasia of the eccrine sweat glands	None
Cutaneous horn	None
Cornu cutaneum	None
Increased length of eyelashes	None
Ciliary trichomegaly	None
Eyelash trichomegaly	None
Long eyelashes	None
Unusually long eyelashes	None
Atypical nevi in non-sun exposed areas	None
Popliteal pterygium	None
Prominent scalp veins	None
Abnormality of the periungual region	None
Subepidermal blistering	None
Cylindroma	None
Congenital ichthyosiform erythroderma	None
Congenital ichthyosis	None
Ichthyosis, congenital	None
Erythema nodosum	None
Yellow skin plaque	None
High anterior hairline	None
High frontal hairline	None
Numerous pigmented freckles	None
Hyperkeratosis	None
Lichenification	None
Patchy hyperpigmentation	None
Spotty increased pigmentation	None
Spotty hyperpigmentation	None
Excess periorbital skin wrinkling	None
Periorbital wrinkling	None
Wrinkles around the eyes	None
Periorbital wrinkles	None
Periorbital rhytids	None
Lichenoid skin lesion	None
Pitted nails	None
Nail pits	None
Nail pitting	None
Aplasia of the sweat glands	None
Lack of sweat glands	None
Absent sweat glands	None
Aberrant melanosome maturation	None
Piebaldism	None
Recurrent cutaneous abscess formation	None
Mottled pigmentation of the trunk and proximal extremities	None
Ectopic cilia of eyelid	None
Pili torti	None
Flattened and twisted hair	None
Ectodermal dysplasia	None
Increased groin pigmentation with raindrop depigmentation	None
Reticular pigmentation pattern	None
Reticulated skin pigmentation	None
Reticulate skin pigmentation	None
Eczematoid dermatitis	None
Follicular infundibulum tumour	None
Basal cell hamartoma with follicular differentiation	None
Follicular infundibulum tumor	None
Absent pigmentation of the abdomen	None
Mottled pigmentation of photoexposed areas	None
Prominent interdigital folds	None
Intra-epidermal blistering	None
Narrow nail	None
Absent hair	None
Itchy feet	None
Itchy foot	None
Pruritus on foot	None
Sacrococcygeal fistula	None
Pilonidal abscess	None
Vibratory urticaria	None
Extension of eyebrows towards upper eyelid	None
Telogen effluvium	None
Facial melanosis	None
Chloasma	None
Melasma	None
Absent keratohyalin granules	None
Abnormality of pace of hair growth	None
Abnormality of hair growth rate	None
Abnormality of speed of hair growth	None
Squamous cell carcinoma of the skin	None
Squamous skin carcinoma	None
Fracture blister	None
Temporal hypotrichosis	None
Reduced hair growth in temporal region	None
Abnormal nail growth	None
Abnormality of the fingernails	None
Abnormal fingernails	None
Abnormal fingernail morphology	None
High hairline at back of head	None
High posterior hairline	None
Broad fingernails	None
Wide fingernails	None
Broad nail	None
Pneumomediastinum	None
Mediastinal widening	None
Widened mediastinum	None
Narrow mediastinum	None
Abnormal mediastinum morphology	None
Abnormality of the mediastinum	None
Abnormality of the thoracic cavity	None
Swollen lymph nodes in centre of chest	None
Swollen lymph nodes in center of chest	None
Mediastinal lymphadenopathy	None
Splayed toes	None
Deformity of the zygomatic bone	None
Malformation of the zygomatic bone	None
Abnormal malar bone morphology	None
Abnormality of the cheekbone	None
Abnormality of the zygomatic bone	None
Deformity of the cheekbone	None
Anomaly of the zygomatic bone	None
Abnormal zygomatic bone morphology	None
Marked sclerosis of skull base	None
Hyperossification of skull base	None
Dense bone of skull base	None
Sclerosis of the skull base	None
Hyperostosis of skull base	None
HyperMineralization of skull base	None
HyperCalcification of skull base	None
Sclerosis of skull base	None
Sclerotic skull base	None
Sclerosis of cranial base	None
Osteolytic defects of the proximal phalanx of the 5th toe	None
Pelvic lipomatosis	None
Shortening of all finger bones	None
Shortening of all phalanges of fingers	None
Hypoossification of skull	None
Poorly mineralized skull	None
Decreased calcification of skull	None
Decreased skull ossification	None
Poorly ossified skull bones	None
Deficient skull ossification	None
Poorly ossified skull	None
Decreased bone formation of skull	None
Ossification defect of skull	None
Decreased mineralization of skull	None
Irregular end part of the elbow bone	None
Irregular epiphyses of the elbow	None
Hip arthralgia	None
Coxalgia	None
Arthralgia of the hip	None
Hip joint pain	None
Pointed humeral metaphysis	None
Pointed wide portion of long bone of upper arm	None
External carotid artery calcification	None
Ivory epiphysis of the distal phalanx of the little finger	None
Ivory epiphysis of the terminal phalanx of the little finger	None
Increased bone density of end part of the outermost pinkie finger bone	None
Increased bone density of end part of the outermost little finger bone	None
Increased bone density of end part of the outermost pinky finger bone	None
Ivory epiphysis of the distal phalanx of the 5th finger	None
Hypoplastic/absent phalanges	None
Aplasia/Hypoplasia of the phalanges of the hand	None
Aplastic/hypoplastic phalanges of the hand	None
Aplastic/hypoplastic phalanges	None
Absent end part of the toe bones	None
Absent epiphyses of the toes	None
Myocardial calcification	None
Calcified myocardium	None
Fatigable weakness of speech muscles	None
Type A2 brachydactyly	None
Short index fingers and second toes	None
Chorioretinal scar	None
Fractured scapula	None
bone scapula	None
Partial/complete duplication of the phalanges of the 3rd toe	None
Duplication of phalanx of the 3rd toe	None
Duplication of phalanx of the third toe	None
Duplication of 3rd toe bone	None
Abnormality of bone formation of cranium	None
Abnormality of bone mineralization of cranium	None
Abnormality of bone formation of calvarium	None
Abnormality of bone calcification of skull	None
Abnormality of bone calcification of cranium	None
Abnormality of skull ossification	None
Abnormality of bone calcification of calvarium	None
Abnormality of bone mineralization of calvarium	None
Abnormality of ossification of calvarium	None
Abnormality of ossification of cranium	None
Abnormality of bone mineralization of skull	None
Abnormality of skull bone formation	None
Myotonia of the lower limb	None
Anomaly of the malar arch	None
Abnormal zygomatic arch morphology	None
Deformity of the zygomatic arch	None
Malformation of the malar arch	None
Deformity of the malar arch	None
Malformation of the zygomatic arch	None
Abnormality of the malar arch	None
Abnormality of the zygomatic arch	None
Anomaly of the zygomatic arch	None
Accelerated maturation of end part of long bone in upper arm	None
Advanced maturation of the humeral epiphyses	None
Advanced ossification of the humeral epiphysis	None
Os odontoideum	None
Lethal skeletal dysplasia	None
Lethal dwarfism identifiable at birth	None
Bell's palsy	None
Cranial nerve VII palsy	None
Facial nerve paralysis	None
VII th cranial nerve palsy	None
Facial nerve palsy	None
Facial palsy, unilateral or bilateral	None
Seventh cranial nerve palsy	None
Facial palsy	None
Facial muscle weakness of muscles innervated by CN VII	None
Abnormality of the shinbone	None
Abnormality of the shankbone	None
Abnormality of tibia morphology	None
Stiff knee	None
Knee stiffness	None
Limited hip movement	None
Elevated imprint of the transverse sinuses	None
Thinning and bulging of posterior skull bones over the transverse sinuses	None
Thinning and bulging of occipital bone over the transverse sinuses	None
Elevated imprint of posterior skull bones over the transverse sinuses	None
Elevated imprint of occipital bone over the transverse sinuses	None
Increased head circumference	None
Abnormal metaphyseal trabeculation	None
Bracket shaped end part of the outermost hand bones	None
Bracket epiphyses of the distal phalanges of the hand	None
Multiple prenatal fractures	None
Congenital bone fractures	None
Multiple fractures present at birth	None
Multiple fractures, present at birth	None
Numerous multiple fractures that are present at birth	None
Numerous multiple fractures present at birth	None
Dislocated patellae	None
Dislocated kneecap	None
Patellar dislocation	None
Dislocation of patella	None
Underdeveloped calf muscles	None
Hypoplastic calf muscles	None
Calf muscle hypoplasia	None
Irregular epiphysis of the distal phalanx of the 4th toe	None
Irregular end part of the outermost bone of the 4th toe	None
Bullet-shaped middle phalanx of the 4th finger	None
Bullet-shaped middle bone of the 4th finger	None
Metaphyseal cupping of proximal phalanges	None
Partial/complete duplication of the proximal phalanx of the 4th toe	None
Duplication of the proximal phalanx of the fourth toe	None
Duplication of the proximal phalanx of the 4th toe	None
Duplication of the innermost 4th toe bone	None
Thoracoabdominal schisis	None
Thoracoabdominal wall defect	None
Fragmentation of the epiphysis of the distal phalanx of the 4th toe	None
Fragmentation of the end part of the outermost bone of the 4th toe	None
Preaxial polydactyly of feet	None
Partial/complete duplication of the phalanges of the big toe	None
Preaxial foot polydactyly	None
Polydactyly affecting the hallux	None
Preaxial polydactyly of the feet	None
Preaxial polydactyly, feet	None
Preaxial polydactyly of foot	None
Preaxial hallucal polydactyly	None
Absent end part of the innermost bone of the 2nd toe	None
Absent epiphysis of the proximal phalanx of the 2nd toe	None
Progressive spinal muscle degeneration	None
Progressive spinal muscle wasting	None
Progressive spinal muscular atrophy	None
Absent/underdeveloped bones of 3rd toe	None
Aplasia/Hypoplasia of the phalanges of the 3rd toe	None
Absent/small bones of 3rd toe	None
Bracket shaped end part of the outermost bone of the 2nd toe	None
Bracket epiphysis of the distal phalanx of the 2nd toe	None
Aplasia/Hypoplasia of the 5th metacarpal	None
Absent/underdeveloped 5th long bone of hand	None
Absent/small 5th long bone of hand	None
Irregular maturation of hand bones	None
Irregular ossification of hand bones	None
Prominent joints	None
Enlarged joints	None
Depletion of mitochondrial DNA in muscle tissue	None
Depletion of mitochondrial dna in skeletal muscle tissue	None
Mitral valve calcification	None
Reduced intrathoracic adipose tissue	None
Premaxillary underdevelopment	None
Decreased size of the primary palate bone	None
Premaxillary retrusion	None
Premaxillary bone retrusion	None
Underdevelopment of the primary palate bone	None
Small primary palate bone	None
Hypoplasia of the premaxilla	None
Decreased size of premaxilla	None
Premaxillary bone deficiency	None
Primary palate bone deficiency	None
Small premaxilla	None
Hypoplasia of the intermaxillary bone	None
Primary palate bone retrusion	None
Underdevelopment of premaxilla	None
Hypoplasia of the primary palate bone	None
Underdevelopment of the premaxilla	None
Calcification of ribs	None
Enlarged sagittal diameter of the cervical canal	None
Spurred metaphysis of long bone of upper arm	None
Spurred humeral metaphysis	None
Hypoplastic coccygeal vertebrae	None
Irregular epiphysis of the distal phalanx of the 3rd toe	None
Irregular end part of the outermost bone of the 3rd toe	None
Cone-shaped epiphyses of the 5th toe	None
Cone-shaped end part of the little toe bone	None
Cone-shaped end part of the pinky toe bone	None
Cone-shaped end part of the pinkie toe bone	None
Abnormal intervertebral disk morphology	None
Abnormality of the intervertebral disk	None
Abnormality of the intervertebral disc	None
1-2 toe complete cutaneous syndactyly	None
Weak grip	None
Reduced muscle fibre merosin	None
Reduced muscle fiber merosin	None
Small bone of forehead	None
Hypoplastic frontal bones	None
Decreased size of bone of forehead	None
Hypotrophic frontal bone	None
Underdevelopment of bone of forehead	None
Hypotrophic frontal bones	None
Thin bone of forehead	None
Hypoplasia of the frontal bone	None
Abnormal shape of pelvis bone	None
Abnormal pelvis bone morphology	None
Unilateral oligodactyly	None
Aplasia of the fingers	None
Absent fingers	None
Shield chest	None
Broad chest	None
Abnormality of the outermost pinkie finger bone	None
Abnormality of the outermost pinky finger bone	None
Abnormality of the distal phalanx of the little finger	None
Abnormality of the terminal phalanx of the little finger	None
Abnormality of the outermost little finger bone	None
Abnormality of the distal phalanx of the 5th finger	None
General absence of subcutaneous fat	None
Lack of fatty tissue below the skin	None
Absence of subcutaneous fat	None
Absent fat below the skin	None
Abnormality of end part of the innermost bone of pinkie finger	None
Abnormality of end part of the innermost bone of pinky finger	None
Abnormality of end part of the innermost bone of little finger	None
Abnormality of the epiphysis of the proximal phalanx of the 5th finger	None
Absent ossification/absent epiphysis of terminal index finger phalanx	None
Absent end part of the outermost bone of the index finger	None
Absent epiphysis of the distal phalanx of the 2nd finger	None
Slender forearm bones	None
Increased bone density in innermost little finger bone	None
Increased bone density in innermost pinky finger bone	None
Sclerosis of the proximal phalanx of the 5th finger	None
Increased bone density in innermost pinkie finger bone	None
Absent musculature	None
Aplasia of the musculature	None
Patchy sclerosis of the phalanges of the 3rd toe	None
Patchy sclerosis of 3rd toe phalanx	None
Uneven increase in bone density in 3rd toe bone	None
Broad femoral head	None
Wide head of thigh bone	None
Fibular deviation of the 3rd toe	None
Sclerosis of the distal phalanx of the 4th finger	None
Increased bone density in the outermost bone of the ring finger	None
Transient swelling of muscle induced by percussion	None
Percussion myotonia	None
Abnormality of the temporal bone	None
Abnormal temporal bone morphology	None
Lacy appearance of iliac crest	None
Iliac crest serration	None
Irregular lacy iliac crest	None
Wide innermost bone of 4th toe	None
Broad proximal phalanx of the 4th toe	None
Abnormal jaw morphology	None
Speckled calcifications in end part of middle finger bone	None
Stippling of the epiphyses of the 3rd finger	None
Cutaneous syndactyly of hands	None
Cutaneous syndactyly of fingers	None
Webbed fingers	None
Webbed skin of fingers	None
Cutaneous finger syndactyly	None
Speckled calcifications in of the end part of the middle bone of the 2nd toe	None
Stippling of the epiphysis of the middle phalanx of the 2nd toe	None
Round end part of upper limb bones	None
Round epiphyses of the upper limbs	None
Anomaly of the joints	None
Abnormal shape of joints	None
Abnormal joint morphology	None
Joint disease	None
Abnormality of the joints	None
Increased bone density in middle toe bone	None
Sclerosis of the middle phalanges of the toes	None
Sclerosis of middle toe phalanx	None
Cortical thickening of the forearm bones	None
Rudimentary to absent fibulae	None
Small to absent calf bone	None
Small to absent fibula	None
Rudimentary fibula	None
Hyperostosis of calvarial bones	None
Overgrowth of skullcap	None
Thick calvarial bones	None
Calvarial hyperostosis	None
Hypertrophy of calvarial bones	None
Enlargement of calvarial bones	None
Excessive growth of calvarial bones	None
Overgrowth of calvarial bones	None
Increased ossification of calvarial bones	None
Drumstick shaped digital bones	None
Drumstick terminal phalanges	None
Absent/small 1st long bone of foot	None
Aplasia/hypoplasia of the 1st metatarsal	None
Absent/underdeveloped 1st long bone of foot	None
Severely decreased muscle tone	None
Hypotonia, severe	None
Severe muscular hypotonia	None
Ulnar deviation of middle fingers	None
Ulnar deviation of the 3rd finger	None
Posterior vertebral hypoplasia	None
Osteolytic defects of the distal phalanges of the toes	None
Short little finger	None
Short fifth fingers	None
Short fifth finger	None
Short 5th finger	None
Short phalanges of the little finger	None
Short pinky finger	None
Hypoplastic/small 5th finger	None
Short pinkie finger	None
Hypoplastic phalanges of the little finger	None
Fifth finger brachydactyly	None
Hypoplastic/small little finger	None
