Pneumomediastinum	HP:0025421
Hypoplasia of mandibular condyle	None
Small mandibular condyle	None
Hypotrophic condylar process of mandible	None
Decreased size of condylar process of mandible	None
Small condylar head of mandible	None
Hypoplasia of condylar neck of mandible	None
Misalignment of upper and lower dental arches	None
Angle class 2 malocclusion	None
Dental malocclusion	None
Bad bite	None
Malocclusion of teeth	None
Malocclusion	None
Bilateral crossbite malocclusion	None
Angle class 3 malocclusion	None
Malalignment of upper and lower dental arches	None
Incorrect relation between upper and lower dental arches	None
Occlusion anomaly	None
Bilateral crossbite	None
Nasolacrimal sac lymphoma	None
Retinal arteriolar occlusion	None
Blocked retinal artery	None
Extra fontanelle	None
Accessory fontanelle	None
Supernumary cranial suture	None
Extra cranial suture	None
Accessory cranial suture	None
Supernumary fontanelle	None
Abnormality of the intermaxillary bone	None
Abnormality of the primary palate bone	None
Abnormality of the premaxilla	None
Abnormality of the premaxillary bone	None
Abnormality of the intermaxillary segment of the maxilla	None
Paranasal sinus hypoplasia	None
Decreased growth of paranasal sinus	None
Decreased volume of paranasal sinus	None
Atelectasis of paranasal sinus	None
Hypotrophic paranasal sinus	None
Underdevelopment of paranasal sinus	None
Small paranasal sinus	None
Decreased pneumatization of paranasal sinus	None
Decreased size of paranasal sinus	None
Abnormality of mandibular ramus	None
Abnormal mandibular ramus morphology	None
Hypoplastic nasal bridge	None
Hypoplastic bridge of nose	None
Hypotrophic bridge of nose	None
Hypotrophic nasal bridge	None
Decreased size of nasal bridge	None
Small nasal bridge	None
Decreased size of bridge of nose	None
Small bridge of nose	None
Microcephaly, postnatal, progressive	None
Progressively abnormally small skull	None
Progressive microcephaly	None
Progressively abnormally small cranium	None
Microcephaly, progressive	None
Defect of vomer	None
Abnormal vomer morphology	None
Abnormality of vomer bone	None
Abnormality of vomer	None
Limited hair on end of eyebrow	None
Laterally sparse eyebrow	None
Sparse lateral eyebrow	None
Sparse lateral eyebrows	None
Lateral thinning of eyebrows	None
Lateral hypoplasia of eyebrows	None
Laterally sparse eyebrows	None
Mastoid agenesis	None
Absent mastoids	None
Absent mastoid	None
Failure of development of mastoid	None
Failure of development of six year molar	None
Absence of six year molar	None
Missing first permanent molar	None
Failure of development of first permanent molar	None
Absence of first permanent molar	None
Agenesis of first permanent molar tooth	None
Missing six year molar	None
Agenesis of six year molar	None
Excess periorbital skin wrinkling	None
Periorbital wrinkling	None
Wrinkles around the eyes	None
Periorbital wrinkles	None
Periorbital rhytids	None
Aplastic/hypoplastic lacrimal glands	None
Absent/underdeveloped tear glands	None
Absent/underdeveloped lacrimal glands	None
Abnormality of zygomaticus minor muscle	None
Flat facies	None
Flat facial shape	None
Flat face	None
Flat facial profile	None
Levator palpebrae superioris atrophy	None
Bilateral cleft lip and palate	None
Right and left cleft lip and palate	None
Bilateral cleft lip and cleft palate	None
Abnormal calvaria morphology	None
Abnormality of cranium	None
Abnormality of calvarium	None
Abnormality of the skull cap	None
Abnormality of the calvaria	None
Abnormality of cranial vault	None
Abnormality of the shape of calvarium	None
Abnormality of the skullcap	None
Neck webbing	None
Pterygium colli	None
Webbed neck	None
Prominent metopic suture	None
Prominent metopic ridge	None
Ridging of metopic suture	None
Prominent frontal ridge	None
Ridging of frontal suture	None
Prominent frontal suture	None
Canted mouth	None
Crooked mouth	None
Tilted mouth	None
Asymmetry of the mouth	None
Uneven mouth	None
Asymmetry of oral cavity	None
Agenesis of the carotid canal	None
Bony carotid canal agenesis	None
Fractured bone of jaw	None
bone bone of jaw	None
Right unilambdoid synostosis	None
Short uvula	None
Short palatine uvula	None
Hypoplastic uvula	None
Blunt uvula	None
Abnormality of oral mucous membrane	None
Abnormal oral mucosa morphology	None
Abnormality of oral mucosa	None
Abnormality of mucosa of mouth	None
Abnormality of lining of mouth	None
Lingual aplasia/hypoplasia	None
Aplasia/Hypoplasia of the tongue	None
Tooth, semilunar	None
Hutchinson incisor	None
Semilunar tooth	None
Crescent-shape tooth	None
Semicircular tooth	None
Recurrent bacterial upper respiratory tract infections	None
Recurrent bacterial URI	None
Abnormality of bony orbit of skull	None
Abnormality of the orbital bones of skull	None
Abnormality of bones of the orbit of the skull	None
Abnormal morphology of bony orbit of skull	None
Abnormality of the bony eye socket	None
Malaligned philtral ridges	None
Asymmetric philtral columns	None
Philtral Ridges, Malaligned	None
Asymmetric philtral ridges	None
Malaligned philtral columns	None
Skull stopped growing	None
Head stopped growing	None
Cranium stopped growing	None
Cessation of head growth	None
White oral mucosal macule	None
Thick, flared eyebrows	None
Highly arched eyebrow	None
High-arched eyebrows	None
Broad, arched eyebrows	None
High, rounded eyebrows	None
High arched eyebrows	None
Arched eyebrows	None
Bowed and upward slanting eyebrows	None
Acrobrachycephaly	None
Flat nasolabial fold	None
Shallow nasolabial fold	None
Underdeveloped nasolabial fold	None
Nasolabial fold, hypoplastic	None
Nasolabial crease, underdeveloped	None
Nasolabial crease, hypoplastic	None
Odontomas	None
Odontoma	None
Abnormality of lateral cricoarytenoid muscle	None
Abnormal anterior cricoarytenoid muscle morphology	None
Abnormal lateral cricoarytenoid muscle morphology	None
Abnormality of lateral crico-arytenoid	None
Malformed tear ducts	None
Malformed lacrimal duct	None
Upper lip pit	None
Lacrimal gland aplasia	None
Absent tear gland	None
Abnormal spaced incisors	None
Abnormality of spacing of incisors	None
Abnormality of spacing of front teeth	None
Rigidity of the temporomandibular joint	None
Freezing of the temporomandibular joint	None
Freezing of jaw joint	None
Temporomandibular joint ankylosis	None
Ankylosis of temporomandibular joint	None
Temporomandibular joint fusion	None
Adhesion of the temporomandibular joint	None
Decreased length of hard palate	None
Hypoplastic palate	None
Short palate	None
Short hard palate	None
Increased size of neck muscles	None
Hyperplasia of neck muscles	None
Hypertrophy of cervical muscles	None
Overgrowth of neck muscles	None
Large neck muscles	None
Neck muscle hypertrophy	None
Eyelid nodules	None
Nodular changes affecting the eyelids	None
Periorbital oedema	None
Periorbital cellulitis	None
Periorbital edema	None
Increased size of premolar	None
Molarization of premolar	None
Molarization of bicuspid	None
Molar shape of bicuspid	None
Molar shape of premolar	None
Enlarged premolar	None
White lesion of the oral mucosa	None
Stiff tongue	None
Tongue stiffness	None
Baggy eyes	None
Redundant eyelid skin	None
Extra eyelid skin	None
Dermatochalasis	None
Hooding of eyelids	None
Eyelid dermatochalasia	None
Droopy eyelid skin	None
Narrow retinal arterioles	None
Retinal arteriolar narrowing	None
Retinal arteriolar constriction	None
Constricted retinal arterioles	None
Abnormality of the area between the eyebrows	None
Glabellar abnormality	None
Malformation of the area between the eyebrows	None
Deformity of the area between the eyebrows	None
Abnormality of the glabella	None
Microfontanelle	None
Small bregma sutures	None
Small cranial sutures	None
Small fontanelle	None
Little cranial sutures	None
Little fontanelle	None
Small soft spot	None
Potter facies	None
Abnormality of orbicularis oris muscle	None
Postnatal cystic hygroma	None
Generalized hyperpigmentation	None
Generalised hyperpigmentation	None
Jaundice	None
Yellowing of the skin	None
Yellow skin	None
Icterus	None
Profuse pigmented skin lesions	None
Hypohidrotic ectodermal dysplasia	None
Dermal atrophy	None
Skin degeneration	None
Atrophic skin	None
Skin atrophy	None
Kaposi's sarcoma	None
Ipsilateral lack of facial sweating	None
Eruptive xanthomas	None
Skin pit	None
Skin pits	None
Acral lentiginous melanoma	None
Diffusely thickened skin	None
Thick skin	None
Thickened skin	None
Pachydermia	None
Diffuse slow skin atrophy	None
Contact dermatitis	None
Generalized seborrheic dermatitis	None
Generalised seborrheic dermatitis	None
Generalised seborrheic eczema	None
Generalized seborrheic eczema	None
Pruritus vulvae	None
Circumferential skin creases on extremities	None
Abnormality of skin morphology	None
Abnormal skin morphology	None
Abnormal skin structure	None
Civatte bodies	None
Cytoid bodies	None
Colloid bodies of Civatte	None
Hyaline bodies	None
Colloid bodies	None
Longitudinal splitting of nail	None
Split nail	None
Long eyelashes in irregular rows	None
Bull's eye rash	None
Increased number of skin folds	None
Punctate palmoplantar hyperkeratosis	None
Absent pigmentation of the ventral chest	None
Genital blistering	None
Sporadic excessive sweating	None
Hyperhidrosis, episodic	None
Episodic hyperhidrosis	None
Pressure ulcer	None
Decubitus Ulcer	None
Pressure Sore	None
Bedsore	None
Flaky paint skin appearance	None
Flaky paint dermatosis	None
Skin vesicle	None
Lumbosacral hirsutism	None
Perifollicular inflammation	None
Perifolliculitis	None
Hyperelastic face skin	None
Stretchable face skin	None
Hyperextensible skin of face	None
Nevus of Ota	None
Congenital melanosis bulbi	None
Nevus fuscoceruleus ophthalmomaxillaris	None
Oculodermal melanocytosis	None
Naevus fuscoceruleus ophthalmomaxillaris	None
Bluish around mouth	None
Circumoral cyanosis	None
Digital pitting scar	None
Median nail dystrophy	None
Central nail canal	None
Ragged cuticle	None
Cold urticaria	None
Epidermal thickening	None
Abnormality of keratinization	None
Hypotrichosis of upper eyelashes	None
Partial absence of upper eyelashes	None
Sparse upper eyelashes	None
Thick hair	None
Increased hair density	None
Increased follicular density	None
Perioral hyperkeratosis	None
Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	None
Partial albinism	None
Partial absent skin pigmentation	None
Congenital partial albinism on face, trunk, or limbs	None
Congenital partial leucoderma	None
Pustular rash	None
Pustulosis	None
Perifollicular fibrosis	None
Wrinkled skin of hands and feet in newborn	None
Neonatal wrinkled skin of hands and feet	None
Abnormal sebaceous gland morphology	None
Mucosal telangiectasiae	None
Marked subcutaneous veins	None
Prominent superficial veins	None
Prominent veins	None
Blistering by histological location	None
Urticarial plaque	None
Angiokeratoma	None
Angiokeratomas	None
Heliotrope erythema	None
Heliotrope rash	None
Hypomelanotic macule	None
Hypomelanotic macules	None
Platonychia	None
Abnormality of hair colour	None
Abnormality of hair pigmentation	None
Abnormality of hair color	None
Cicatricial alopecia	None
Scarring alopecia of scalp	None
Hair loss on scalp from scarring condition	None
Hypopigmentation	None
Hypopigmented skin	None
Patchy lightened skin	None
Skin hypopigmentation	None
Hypopigmentation of the skin	None
Plethora	None
Dark circles around the eyes	None
Periorbital melanosis	None
Periorbital hyperpigmentation	None
Idiopathic cutaneous hyperchromia at the orbital region	None
Infraorbital pigmentation	None
Pigmentation around the eyes	None
Darkening around the eyes	None
Dark circles under the eyes	None
Cauliflower deformity of dermal collagen fibrils	None
Cutaneous vasculitis	None
Vasculitis in the skin	None
Pretibial myxedema	None
Graves dermopathy	None
Hyperpigmented macules	None
Hyperpigmented spots	None
Hypermelanotic macule	None
Hyperpigmented skin patches	None
Hyperpigmented papule	None
Angioectasias of the lip	None
Lip telangiectasia	None
Lip telangiectases	None
Telangiectasia of the lips	None
Labial angioectasias	None
Spider veins of the lip	None
Labial telangiectasia	None
Hair displacement, preauricular, towards lateral cheekbone	None
Projection of scalp hair onto lateral cheek	None
Preauricular hair displacement	None
Hair growing down to cheek	None
Eosinophilic dermatitis	None
Eosinophilic dermal infiltration	None
Localized area of pendulous skin	None
Localised area of pendulous skin	None
Honeycomb palmoplantar hyperkeratosis	None
Alopecia areata	None
Patchy alopecia	None
Patchy baldness	None
Narrow nail	None
Pallor	None
Paleness	None
Skin paleness	None
Pretibial epidermolysis bullosa	None
Pretibial blistering	None
Pigmentation of eyelids	None
Dark eyelids	None
Hyperpigmentation of eyelids	None
Brown eyelids	None
Congenital malformed nails	None
Congenital onychodystrophy	None
Melanodermia	None
Hyperpigmented lesion	None
Skin hyperpigmentation	None
Increased skin pigmentation	None
Hyperpigmentation of the skin	None
Cutaneous hyperpigmentation	None
Patchy darkened skin	None
Melanoderma	None
Sydney crease	None
Absent/small palm crease	None
Absent/underdeveloped palm crease	None
Aplasia/Hypoplasia of the palmar creases	None
Fracture blister	None
Progeroid facial appearance	None
Aged facial appearance	None
Prematurely aged facial appearance	None
Wizened face	None
Prematurely aged face	None
Premature aged appearance	None
Erythema chronicum migrans	None
Erythema migrans	None
Woolly hair	None
Afro-textured hair	None
Wooly hair	None
Kinky hair texture	None
Kinked hair	None
Nappy hair texture	None
Abnormal hairshaft morphology	None
Slow rate of hair growth	None
Slow growing hair	None
Slow-growing hair	None
Slow speed of hair growth	None
Laterally curved eyebrow	None
Aplasia of the fingernail	None
Absent fingernail	None
Anonychia of fingernails	None
Onychomadesis	None
Facial melanosis	None
Chloasma	None
Melasma	None
Trachyonychia	None
Abnormal pigmentation in sun-exposed skin	None
Pigmentation anomalies of sun-exposed skin	None
Linear arrays of macular hyperkeratoses in flexural areas	None
Necrolytic migratory erythema	None
Aplasia cutis congenita of midline scalp vertex	None
Linear C3 deposits along the epidermal basement membrane zone	None
Bifid nail	None
duplicated nail	None
Notched nail	None
Synophris	None
Unibrow	None
Monobrow	None
Synophrys	None
Armpit cyst	None
Axillary epidermoid cyst	None
Acromial dimple	None
Bi-acromial dimples	None
Shoulder dimples	None
Shoulder dimple	None
Scalp hair loss	None
Baldness	None
Alopecia of scalp	None
Missing scalp hair	None
Absence of scalp hair	None
Pathologic hair loss from scalp	None
Hyperkeratosis with erythema	None
Junctional split	None
Lamina lucida cleavage	None
Blistering with junctional split	None
Subepidermal blistering with cleavage in the lamina lucida	None
Short nail	None
Short nails	None
Angioma serpentinum	None
Hyperkeratosis over edematous areas	None
Trichilemmal cyst	None
Pilar cyst	None
Digital ulcer	None
Folliculitis	None
Follicular pustule	None
Verrucae	None
Warts	None
Elevated dermal desmosine content	None
Diffuse skin atrophy	None
Sebaceous naevus	None
Organoid nevus	None
Sebaceous nevus	None
Sebaceous mole	None
Naevus sebaceous	None
Nevus sebaceous	None
Plantar hyperkeratosis	None
Plantar hyperkeratoses	None
Abnormality of the palmar creases	None
Abnormality of the palm lines	None
Livedo reticularis	None
Palmoplantar keratosis	None
Thickening of the outer layer of the skin of the palms and soles	None
Palmoplantar keratoses	None
Hyperkeratosis of palms and soles	None
Thick palms and soles	None
Hyperkeratosis of the palms and soles	None
Thickened palms and soles	None
Palmoplantar hyperkeratosis	None
Dry hair	None
Failure of development of eyebrows	None
Absent eyebrows	None
Agenesis of eyebrows	None
Missing eyebrows	None
Loss of eyebrows	None
Aplasia of eyebrows	None
Absent eyebrow	None
Kinky scalp hair texture	None
Afro-textured scalp hair	None
Wooly scalp hair	None
Nappy scalp hair texture	None
Woolly scalp hair	None
Atypical scarring of skin	None
Atypical scarring	None
Abnormal palmar dermal ridges	None
Multiple palm lines	None
Multiple palmar creases	None
Palmoplantar erythema	None
Patchy hyperpigmentation	None
Spotty increased pigmentation	None
Spotty hyperpigmentation	None
Vesicular eruption	None
Yellow subcutaneous tissue covered by thin, scaly skin	None
Generalised papillary lesions	None
Generalized papillary lesions	None
Epidermal hyperkeratosis	None
Increased thickness of skin epidermis	None
Erythematous plaque	None
Violaceous plaque	None
Thickened nails	None
Dystrophic thickened nails	None
Thick nail	None
Onychogryposis	None
Cutis marmorata telangiectatica congenita	None
Congenital palmoplantar keratoderma	None
Congenital palmoplantar hyperkeratosis	None
Congenital palmoplantar keratosis	None
Congenital palmoplantar keratodermia	None
Lichenification	None
Skin erosion	None
Beau lines	None
Ladder nail sign	None
Ladder nail	None
Beau's lines	None
Hyperconvex toenail	None
Ridged nail	None
Longitudinal ridging	None
Grooved nails	None
Nail ridging	None
Ridged nails	None
Plantar pits	None
Thin skin	None
Increased number of elastic fibres in the dermis	None
Increased number of elastic fibers in the dermis	None
Absent inner eyelashes	None
Localized abnormal hair growth	None
Localized hirsutism	None
Localised hirsutism	None
Localised abnormal hair growth	None
Nevus	None
Naevi	None
Naevus	None
Nevi	None
Mole	None
Cutis marmorata	None
Xanthoma striatum palmare	None
Xanthoma palmare striatum	None
Xanthomas of the palmar creases	None
Scaling skin on fingertip	None
Oncholysis	None
Onycholysis	None
Detachment of nail	None
Urate tophus	None
Urate tophi	None
Basalioma of the outer ear	None
Absent axillary hair	None
Abnormal palmar dermatoglyphics	None
Palmar hyperlinearity	None
Redundant skin in infancy	None
Excess skin in infancy	None
Convex contour of sole	None
Sparse eyebrow	None
Hypotrichosis of eyebrow	None
Sparse eyebrows	None
Skin detachment	None
Detached skin	None
Epidermal detachment	None
Skin sloughing	None
Molluscum contagiosum	None
Clumping of elastic fibres in the dermis	None
Clumping of elastic fibers in the dermis	None
Abnormal location of eyebrows	None
Abnormally placed eyebrows	None
Abnormal location of the eyebrow	None
Recurrent loss of toenails and fingernails	None
Recurrent shedding of toenails and fingernails	None
Erythroderma	None
Red scaly skin caused by inflammatory skin disease	None
Generalized erythrodermia	None
Exfoliative dermititis	None
Generalised erythrodermia	None
Generalised erythroderma	None
Generalized erythroderma	None
Open comedo	None
Blackhead	None
Discrete 2 to 5-mm hyper- and hypopigmented macules	None
Long upper eyelashes	None
Ciliary trichomegaly of upper eyelashes	None
Increased length of upper eyelashes	None
Short upper eyelashes	None
Decreased length of upper eyelashes	None
Bilateral single transverse palmar creases	None
Reticular pigmentation pattern	None
Reticulated skin pigmentation	None
Reticulate skin pigmentation	None
Hyperextensible skin of chest	None
Hyperelastic chest skin	None
Stretchable chest skin	None
Abnormality of the nail	None
Nail disease	None
Occasional neurofibromas	None
Cobblestone-like hyperkeratosis	None
Nail dystrophy	None
Dystrophic nails	None
Onychodystrophy	None
Poor nail formation	None
Severe photosensitivity	None
Severe sun sensitivity	None
Tiger tail banding	None
Tiger-tail banding	None
Disseminated cutaneous warts	None
Generalized keratosis follicularis	None
Generalised keratosis follicularis	None
Osteomatosis	None
Miliary osteoma	None
Cutaneous osteosis	None
Osteoma cutis	None
Blood spots	None
Red or purple spots on the skin	None
Purpura	None
Nail bed telangiectasia	None
Nail bed telangiectases	None
Inguinal freckling	None
Freckles in groin region	None
Increased bone density of end part of the outermost bone of the 2nd toe	None
Ivory epiphysis of the distal phalanx of the 2nd toe	None
Triangular shaped phalanges of the 3rd toe	None
Triangular shaped 3rd toe bones	None
Aplasia/hypoplasia affecting bones of the axial skeleton	None
Abnormality of the hip-girdle musculature	None
Congenital microthorax	None
Epiphyseal sclerosis	None
Increased bone density in end part of bone	None
Ivory epiphyses	None
Hypoplastic glenoid fossa	None
Glenoid fossa hypoplasia	None
Glenoid hypoplasia	None
Fused fourth and fifth metacarpals	None
Synostosis of the fourth and fifth metacarpal bones	None
Ring finger and little finger metacarpal synostosis	None
Fused 4th-5th metacarpals	None
Fused 4th-5th long bones of hand	None
4-5 metacarpal synostosis	None
Increased bone density of end part of the little toe bone	None
Ivory epiphyses of the 5th toe	None
Increased bone density of end part of the pinky toe bone	None
Increased bone density of end part of the pinkie toe bone	None
Aplasia/hypoplasia involving bones of the extremities	None
Subcutaneous lipoma	None
False joint (long bone in upper arm)	None
Humeral pseudarthrosis	None
Broad proximal phalanges of the hand	None
Broad innermost finger bones of the hand	None
Wide innermost finger bones of the hand	None
Bowing of radius bone of the forearm	None
Bowed radius	None
Bowing of outer large bone of the forearm	None
Radial bowing	None
Bowed radii	None
Abnormality of the epiphysis of the proximal phalanx of the 3rd finger	None
Abnormality of the end part of the innermost bone of the middle finger	None
Speckled calcifications in end part of the innermost long bone of index finger	None
Stippling of the epiphysis of the proximal phalanx of the 2nd finger	None
Increased fibular diameter	None
Thick fibulae	None
Thick fibula	None
Wide fibula	None
Wide calf bone	None
Limitation of movement at ankles	None
Absent first metatarsal	None
Absent 1st long bone of foot	None
Aplasia of the 1st metatarsal	None
Absent 1st metatarsal	None
Contracture of thumb	None
Flexion deformities of thumbs	None
Flexion contracture of thumb	None
Joint contractures of the thumb	None
Oral motor hypotonia	None
Aplasia of the nasal bone	None
Agenesis of the nasal bone	None
Missing nasal bone	None
Absence of the nasal bone	None
Failure of development of the nasal bone	None
Lack of development of the nasal bone	None
Lumbar platyspondyly	None
Fragmentation of the epiphysis of the distal phalanx of the 4th toe	None
Fragmentation of the end part of the outermost bone of the 4th toe	None
Delayed calcaneal ossification	None
Delayed heel bone maturation	None
Absent ossification of skull vault	None
Absent ossification of calvaria	None
Absent bone maturation of skullcap	None
Fragmentation of end part of middle finger bone	None
Fragmentation of the epiphyses of the 3rd finger	None
Retinal calcification	None
Pilonidal cyst	None
Pilonidal sinus	None
Triangular end part of the middle bone of the index finger	None
Triangular epiphysis of the middle phalanx of the 2nd finger	None
Irregular end part of the 1st long bone of hand	None
Irregular epiphysis of the 1st metacarpal	None
Fusion involving the 3rd long bone of hand	None
Synostosis involving the 3rd metacarpal	None
Abnormality of the abdominal musculature	None
Abnormal morphology of the abdominal musculature	None
Intermittent involuntary muscle spasm	None
Tetany	None
Increased bone density in little finger bone	None
Increased bone density in pinkie finger bone	None
Sclerosis of 5th finger phalanx	None
Increased bone density in pinky finger bone	None
Sclerosis of the phalanges of the 5th finger	None
irregular, dense end plate	None
Irregular sclerotic endplates	None
Stiff interphalangeal joints	None
Stiff hinge joints	None
Posterior rib gap	None
Dorsal rib defect	None
Bulging epiphyses	None
Bulging end part of bone	None
Gingival calcifications	None
Gingival calcification	None
Rectocele	None
Lumbar scoliosis	None
Hypoplastic coccygeal vertebrae	None
Pointed proximal second through fifth metacarpals	None
bone ilium	None
Fractured ilium	None
Irregular tarsal centers	None
Irregular tarsal centres	None
Irregular ankle bone maturation	None
Irregular tarsal ossification	None
Spurred wide portion of upper limb bone	None
Spurred metaphyses of the upper limbs	None
Enamel agenesis	None
Triceps aplasia	None
Absent triceps	None
Increased bone density in ribs	None
Osteosclerosis of ribs	None
Bossing of parietal bone	None
Parietal bossing	None
Biparietal bossing	None
Arthrogryposis	None
Arthrogryposis multiplex congenita	None
Arthrogryposis multiplex	None
Arthrogryposis, congenital	None
Multiple congenital contractures	None
Abnormal shape of cartilage	None
Abnormality of cartilage morphology	None
Abnormal cartilage morphology	None
Muscle fibre hyaline bodies	None
Muscle fiber hyaline bodies	None
Abnormality of mandible coronoid process	None
Abnormal mandible coronoid process morphology	None
Shorter than typical length between neck and abdomen	None
Short thorax	None
Thick skull bones	None
Cranial hyperostosis	None
Hypertrophy of cranial bones	None
Increased ossification of cranial bones	None
Hyperostosis of cranial vault	None
Excessive growth of skull bones	None
Overgrowth of skull bones	None
Enlargement of skull bones	None
Hyperostosis of cranial bones	None
11 thoracic vertebrae	None
Absent distal phalanx of the 4th toe	None
Absent outermost bone of the 4th toe	None
Aplasia of the distal phalanx of the 4th toe	None
Cerebral calcification, nonarteriosclerotic	None
Nonarteriosclerotic cerebral calcification	None
Large humeral epiphyses	None
Large end part of long bone in upper arm	None
Enlarged epiphysis of the 1st metatarsal	None
Enlarged end part of the 1st long bone of foot	None
Abnormality of the epiphyses of the middle phalanges of the hand	None
Abnormality of the end part of the middle hand bones	None
Broad ischia	None
Increased sarcoplasmic glycogen	None
Complete duplication of the outermost bone of the 4th toe	None
Complete duplication of the distal phalanx of the fourth toe	None
Complete duplication of the distal phalanx of the 4th toe	None
Vertebral artery calcification	None
Abnormal wrist bone maturation	None
Abnormality of carpal bone ossification	None
Hardened spots within wrist bones	None
Stiffened spots within wrist bones	None
Sclerotic foci within carpal bones	None
Wide innermost bone of 4th toe	None
Broad proximal phalanx of the 4th toe	None
Tongue-like lumbar vertebral deformities	None
Fractured distal phalanx of manual digit 5	None
bone distal phalanx of manual digit 5	None
Lytic defects of radial metaphysis	None
Undulate clavicles	None
Wavy clavicles	None
Wavy collarbone	None
Triangular end part of the index finger	None
Triangular epiphyses of the 2nd finger	None
Fibular hypoplasia	None
Short fibula	None
Hypoplastic fibula	None
Short fibulae	None
Short calf bone	None
Compression fractured vertebra	None
Wedge fractured vertebra	None
Compression-fractured vertebra	None
Limited knee flexion/extension	None
Increased anterior vertebral height	None
Patchy sclerosis of the phalanges of the 4th toe	None
Uneven increase in bone density in 4th toe bone	None
Patchy sclerosis of 4th toe phalanx	None
Ectopic ossification in tendon tissue	None
Tibial metaphyseal irregularity	None
Flexion contracture of finger	None
Flexion deformity of finger	None
Lordosis	None
Prominent swayback	None
Hyperlordosis	None
Metaphyseal chondromatosis of ulna	None
Bracket metacarpal epiphyses	None
Bracket shaped end part of long bone of hand	None
Progressive muscle weakness	None
Progressive muscular weakness	None
Muscle weakness, progressive	None
Synostosis involving the fibula	None
Bone fusion involving the calf bones	None
Abnormality of the forehead soft spot	None
Abnormality of the anterior fontanelle	None
Metaphyseal dappling	None
Dappled metaphyseal sclerosis	None
Interphalangeal joint erosions	None
Joint contractures of the 2nd toe	None
Flexion contracture of the 2nd toe	None
Irregular epiphyses	None
Irregular end part of long bone	None
Complete duplication of the proximal phalanges of the hand	None
Complete duplication of the innermost bones of the hand	None
Dandy-Walker cyst	None
Dandy-walker anomaly	None
Dandy-Walker malformation	None
Generalized muscle weakness due to defect at the neuromuscular junction	None
Generalised muscle weakness due to defect at the neuromuscular junction	None
Myasthenic weakness	None
Proximal muscle weakness due to defect at the neuromuscular junction	None
Myasthenia	None
Fatigable weakness of limb muscles	None
Fatigable weakness	None
Constricted radial neck	None
Hypoplastic/aplastic fibulae	None
Aplasia/Hypoplasia of the fibula	None
Absent/underdeveloped calf bone	None
Absent/small calf bone	None
Fibular aplasia/hypoplasia	None
Generalized hypotonia due to defect at the neuromuscular junction	None
Generalised hypotonia due to defect at the neuromuscular junction	None
Abnormality of metacarpal epiphyses	None
Abnormal metacarpal epiphysis morphology	None
Abnormality of end part of long bone of hand	None
Posterior rib fusion	None
Abnormality of the epiphysis of the middle phalanx of the 2nd finger	None
Epiphyseal abnormality of middle phalanx of the 2nd finger	None
Abnormality of end part of the middle bone of the index finger	None
Advanced bone age	None
Early bone maturation	None
Accelerated skeletal maturation	None
Uneven increase in bone density in pinky toe bone	None
Uneven increase in bone density in pinkie toe bone	None
Patchy sclerosis of the phalanges of the 5th toe	None
Uneven increase in bone density in little toe bone	None
Patchy sclerosis of 5th toe phalanx	None
Broad innermost pinkie finger bone	None
Broad innermost little finger bone	None
Broad innermost pinky finger bone	None
Wide proximal phalanx of the 5th finger	None
Broad proximal phalanx of the 5th finger	None
Bracket shaped end part of ring finger bones	None
Bracket epiphyses of the 4th finger	None
Small epiphysis of the distal phalanx of the hallux	None
Small end part of the outermost bone of the big toe	None
Increased bone density in the innermost bone of the ring finger	None
Sclerosis of the proximal phalanx of the 4th finger	None
Speckled calcifications in end part of the long bone of hand	None
Epiphyseal stippling of the metacarpals	None
Stippling of the epiphyses of the metacarpals	None
Generalized bone demineralization	None
Generalised bone demineralization	None
Absent epiphysis of the middle phalanx of the 3rd toe	None
Absent end part of the middle bone of the 3rd toe	None
Abnormal periosteum morphology	None
Bullet-shaped hallux phalanx	None
Bullet-shaped bone of big toe	None
Bullet-shaped phalanges of the hallux	None
Delayed maturation of the head of the thigh bone	None
Delayed femoral head ossification	None
Proximal placement of hallux	None
Proximally placed halluces	None
Proximal placement of big toe	None
Bullet-shaped middle phalanx of the 2nd finger	None
Bullet-shaped middle bone of index finger	None
Small end part of the innermost bone of the ring finger	None
Small epiphysis of the proximal phalanx of the 4th finger	None
Amelia involving the lower limbs	None
Webbed index, middle and little finger	None
Webbed 2nd-5th fingers	None
2-5 finger syndactyly	None
Webbed index, middle and pinkie finger	None
Webbed index, middle and pinky finger	None
Triangular shaped distal phalanx of the 5th finger	None
Triangular shaped outermost pinky finger bone	None
Triangular shaped outermost little finger bone	None
Triangular shaped outermost pinkie finger bone	None
Abnormal wrist bones	None
Abnormality of the carpal bones	None
Abnormal carpal morphology	None
Anomalous carpal bones	None
Carpal bone anomalies	None
Abnormal carpal bones	None
Dislocation of toes	None
Absent/small triceps	None
Absent/underdeveloped triceps	None
Aplasia/Hypoplasia of the triceps	None
Osteolytic defects of the phalanges of the thumb	None
Osteolytic defect of thumb phalanx	None
Easy fatigability	None
Tired easily	None
Tarsal osteolysis	None
Tarsal bone osteolysis	None
Osteolysis involving tarsal bones	None
Distal upper limb amyotrophy	None
Distal upper limb muscle atrophy	None
Naso-frontal encephalocele	None
Nasofrontal encephalocele	None
Slender, gracile long tubular bones	None
Gracile long bones	None
Slender long bones	None
Thin, gracile long bones	None
