Abnormality of the breast	HP:0000769
Triangular shaped outermost bone of the pinky toe	None
Triangular shaped outermost bone of the pinkie toe	None
Triangular shaped outermost bone of the little toe	None
Triangular shaped distal phalanx of the 5th toe	None
Fragmentation of end part of the outermost bone of the ring finger	None
Fragmentation of the epiphysis of the distal phalanx of the 4th finger	None
Absent end part of the middle bone of the ring finger	None
Absent epiphysis of the middle phalanx of the 4th finger	None
Increased bone density of end part of the index finger bone	None
Ivory epiphyses of the 2nd finger	None
Knuckle dimple	None
Archibald's metacarpal sign	None
Archibald's sign	None
Short middle phalanx of toe	None
Short middle bones (feet)	None
Short middle phalanges of toes	None
Bilateral postaxial polydactyly	None
Patchy sclerosis of 3rd finger phalanx	None
Uneven increase in bone density in middle finger bone	None
Patchy sclerosis of middle finger phalanges	None
Patchy sclerosis of the phalanges of the 3rd finger	None
Pseudoepiphysis of the distal phalanx of the 5th toe	None
Polymelia	None
Areflexia of upper limbs	None
Generalized weakness of limb muscles	None
Generalised weakness of limb muscles	None
Palmar neurofibromas	None
Absent radius	None
Radial aplasia	None
Absent ossification/absence of radius	None
absence of radius and ulna	None
Missing outer large bone of forearm	None
Aplasia of the radius	None
Abnormality of the radius	None
Abnormal morphology of the radius	None
Flattened end part of long bone in upper arm	None
Flattened humeral epiphyses	None
Contracture of the interphalangeal joint of the hallux	None
Amelia involving the upper limbs	None
Ivory epiphysis of the proximal phalanx of the 4th finger	None
Increased bone density of end part of the innermost ring finger bone	None
Fused middle bones of toes	None
Symphalangism affecting the middle phalanges of the toes	None
Uneven increase in bone density in the innermost bone of the 4th toe	None
Patchy sclerosis of the proximal phalanx of the 4th toe	None
Small end part of pinkie finger bone	None
Small epiphyses of the 5th finger	None
Small end part of little finger bone	None
Small end part of pinky finger bone	None
Absent/small outermost bone of little finger	None
Absent/underdeveloped outermost bone of pinky finger	None
Absent/small outermost bone of pinky finger	None
Aplasia/Hypoplasia of the distal phalanx of the 5th finger	None
Absent/small outermost bone of pinkie finger	None
Cone-shaped epiphyses of middle phalanx of index finger	None
Cone-shaped epiphysis of the middle phalanx of the 2nd finger	None
Cone-shaped end part of the middle long bone of the index finger	None
Patchy sclerosis of distal toe phalanx	None
Uneven increase in bone density in outermost toe bone	None
Patchy sclerosis of the distal phalanges of the toes	None
Partial duplication of the middle phalanx of the third toe	None
Partial duplication of the middle bone of 3rd toe	None
Partial duplication of the middle phalanx of the 3rd toe	None
Progressive forearm bowing	None
Progressive forearm curvature	None
Amelia involving the lower limbs	None
Wide radial metaphysis	None
Broad radial metaphysis	None
Short second toe	None
Short 2nd toe	None
Trident acetabula	None
Trident acetabulum	None
Broad distal phalanges of the hand	None
Broad outermost finger bone	None
Broad distal phalanges	None
Spatulate terminal phalanges	None
Broad distal phalanx of finger	None
Broad terminal phalanges	None
Broad distal phalanx	None
Broad, square ends of distal phalanges	None
Wide proximal femoral metaphysis	None
Wide metaphysis of innermost thighbone	None
Rhizomelic short stature	None
Rhizomelia	None
Rhizomelic dwarfism	None
Disproportionately short upper portion of limb	None
Symmetrical rhizomelic limb shortening	None
Rhizomelic shortening	None
Rhizomelic limb shortening	None
Short stature, rhizomelic	None
Rhizomelic short limbs	None
Abnormality of forearm bone	None
Abnormal forearm bone morphology	None
Increased bone density in the innermost bone of the 2nd toe	None
Sclerosis of the proximal phalanx of the 2nd toe	None
Wide bone of big toe	None
Broad hallux phalanx	None
Broad phalanges of the hallux	None
Broad bone of big toe	None
Enlarged end part of the 1st long bone of foot	None
Enlarged epiphysis of the 1st metatarsal	None
Absent/underdeveloped 4th toe	None
Aplasia/Hypoplasia of the 4th toe	None
Absent/small 4th toe	None
bone middle phalanx of manual digit 2	None
Fractured middle phalanx of manual digit 2	None
Delayed heel bone maturation	None
Delayed calcaneal ossification	None
Abnormality of the end part of the outermost bone of the big toe bone	None
Abnormality of the epiphysis of the distal phalanx of the hallux	None
Medial rotation of the medial malleolus	None
Abnormality of the bones of the 3rd toe	None
Abnormality of the phalanges of the 3rd toe	None
Increased bone density of end part of the middle hand bones	None
Ivory epiphyses of the middle phalanges of the hand	None
Duplication of middle finger bone	None
Duplication of phalanx of 3rd finger	None
Partial/complete duplication of phalanges of the 3rd finger	None
Flattened humeral heads	None
Flattended head of long bone in upper arm	None
Aplasia of the distal phalanges of the toes	None
Absent outermost bone of the toes	None
Absent distal phalanges	None
Absent outermost digital bones	None
Curvature of index finger	None
Second finger clinodactyly	None
Clinodactyly of the 2nd finger	None
Humeral exostoses	None
Large capitate bone	None
Epiphyseal abnormality of the proximal phalanx of the 2nd finger	None
Abnormality of the epiphysis of the proximal phalanx of the 2nd finger	None
Aplasia/hypoplasia of the 1st metatarsal	None
Absent/small 1st long bone of foot	None
Absent/underdeveloped 1st long bone of foot	None
Early ossification of capital femoral epiphyses	None
Notched terminal thumb phalanx	None
Notched outermost bone of thumb	None
Bifid distal phalanx of thumb	None
Bifid thumb distal phalanx	None
Bifid terminal phalanges of thumbs	None
Incipient distal thumb phalanx duplication	None
Notched outermost bone of the thumb	None
Bifid distal phalanx of the thumb	None
Fragmentation of the end part of the outermost bone of the big toe	None
Fragmentation of the epiphysis of the distal phalanx of the hallux	None
Sclerosis of the proximal phalanx of the 4th finger	None
Increased bone density in the innermost bone of the ring finger	None
Partial duplication of the proximal phalanx of the hallux	None
Partial duplication of the innermost bone of big toe	None
Broad middle phalanx of the 2nd toe	None
Broad middle bone of 2nd toe	None
Abnormality of the joint spaces of the elbow	None
Partial duplication of the middle bone of the 4th toe	None
Partial duplication of the middle phalanx of the 4th toe	None
Partial duplication of the middle phalanx of the fourth toe	None
Broad innermost bone of the pinky toe	None
Broad proximal phalanx of the 5th toe	None
Broad innermost bone of the pinkie toe	None
Broad innermost bone of the little toe	None
Bilateral radial aplasia	None
Bilateral absence of radius	None
Osteolytic defects of the outermost bone of the 2nd finger	None
Osteolytic defects of the distal phalanx of the 2nd finger	None
Acro-osteolysis of terminal index finger phalanx	None
Acro-osteolysis of index finger	None
Triangular shaped toe bones	None
Triangular shaped phalanges of the toes	None
Osteolytic defects of the proximal phalanx of the 3rd finger	None
Bullet-shaped hallux phalanx	None
Bullet-shaped bone of big toe	None
Bullet-shaped phalanges of the hallux	None
Carpal bone malsegmentation	None
Small distal femoral epiphysis	None
Small end part of outermost thighbone	None
Aplasia of the 1st metacarpal	None
Absent 1st long bone of hand	None
Absent first metacarpal	None
Stippling of the epiphysis of the 1st metatarsal	None
Speckled calcifications in the end part of the 1st long bone of foot	None
Abnormality of the end part of the innermost bone of the big toe	None
Abnormality of the epiphysis of the proximal phalanx of the hallux	None
Contractures of the metatarsophalangeal joint of the hallux	None
Absent end part of the 3rd toe	None
Absent epiphyses of the 3rd toe	None
Distal tapering of metatarsals	None
Second metatarsal posteriorly placed	None
Pseudoepiphyses of middle finger phalanges	None
Pseudoepiphyses of the 3rd finger	None
Webbed skin of 2nd-3rd toes	None
Cutaneous syndactyly of second and third toes	None
Cutaneous 2,3 toe syndactyly	None
Complete cutaneous syndactyly of second and third toes	None
2-3 toe cutaneous syndactyly	None
Osteolytic defect of the proximal toe phalanx	None
Osteolytic defects of the proximal phalanges of the toes	None
Osteolysis of scaphoids	None
Abnormality of the lunate bone	None
Increased bone density of end part of the big toe bone	None
Ivory epiphyses of the hallux	None
Broad fingertips	None
Broad fingertip	None
Osteolytic defects of the phalanges of the 4th toe	None
Hypoplastic feet	None
Short feet	None
Short foot	None
Small feet	None
Metaphyseal chondromatosis of tibia	None
Slender long bone of upper arm	None
Slender humerus	None
Osteolytic defects of the phalanges of the thumb	None
Osteolytic defect of thumb phalanx	None
Short middle phalanx of the 4th finger	None
Short middle phalanx of ring finger	None
Short middle bone of 4th finger	None
Brachymesophalangy IV (finger)	None
Hypoplastic/small middle phalanx of ring finger	None
Hypoplastic/small middle phalanx of the 4th finger	None
Short tibia	None
Short shinbone	None
Shortening of the tibia	None
Shortening of the shankbone	None
Short tibiae	None
Short skankbone	None
Hypoplasia of the tibia	None
Hypoplastic tibia	None
Shortening of the shinbone	None
Fused toes	None
Syndactyly of feet	None
Webbed toes	None
Toe syndactyly	None
Syndactyly of toes	None
Foot syndactyly	None
Curved proximal phalanx of the 2nd toe	None
Curved innermost bone of 2nd toe	None
Hyperhidrosis of palms and soles	None
Palmoplantar hyperhidrosis	None
Excessive sweating of palms and soles	None
Toe curvature	None
Clinodactyly of feet	None
Toe clinodactyly	None
Diffuse cerebral calcification	None
Euphoria	None
Irregular myelin loops	None
Atrophic superior cerebellar peduncle	None
Hyperkinesia	None
Hyperkinesis	None
Muscle spasms	None
Hyperkinetic movements	None
Hypoplastic brain stem	None
Small brainstem	None
Hypoplasia of the brainstem	None
Hypoplastic brainstem	None
Brainstem hypoplasia	None
Underdeveloped brainstem	None
Gaze avoidance	None
Gaze aversion	None
Progressive spastic paraplegia	None
Rosette-forming glioneuronal tumour of the fourth ventricle	None
Rosette-forming glioneuronal neoplasm	None
Rosette-forming glioneuronal tumor of the fourth ventricle	None
Rosette-forming glioneuronal tumour	None
Rosette-forming glioneuronal tumor	None
Panhypopituitarism	None
Focal hemifacial clonic seizure	None
Hemifacial seizures	None
Iron accumulation in substantia nigra	None
Partial paralysis of legs	None
Paraparesis	None
Self-mutilation	None
Deliberate self-harm	None
Self mutilation	None
Elevated brain glutamine level by MRS	None
Slowed thoughts	None
Bradyphrenia	None
Slowness of thought	None
Mental slowness	None
Slowed thinking	None
Aplasia of the olfactory bulb	None
Olfactory bulb aplasia	None
Aplastic olfactory bulb	None
Hyperintensity of MRI T2 signal of the spinal cord	None
Abnormal nervous system physiology	None
Abnormality of nervous system physiology	None
Sudomotor sympathetic dysfunction	None
Abnormal sudomotor regulation	None
Abnormality of pain sensation	None
Dilated cerebral ventricle	None
Enlarged ventricles	None
Ventriculomegaly	None
Dilated ventricles	None
Ventricular dilatation	None
Large cerebral ventricles and cisternae	None
Dilated cerebral ventricles	None
Cerebral ventricular dilatation	None
Enlarged ventricular system	None
Enlarged cerebral ventricles	None
Inflexible adherence to routines or rituals	None
Glycine low in CSF	None
Decreased CSF glycine concentration	None
Subcortical white matter calcifications	None
Hyperorality	None
Hyperoralia	None
Parasomnia	None
Inappropriately normal TSH	None
Inappropriately normal thyroid-stimulating hormone level	None
Increased CSF albumin concentration	None
High albumin levels in cerebrospinal fluid	None
Repeated seizures without recovery between them	None
Status epilepticus	None
Prolonged seizure	None
Repeated seizure without recovery	None
Cognitive abnormality	None
Abnormality of cognition	None
Cognitive impairment	None
Intellectual impairment	None
Cognitive defects	None
Cognitive deficits	None
Decreased pineal volume	None
Lower limb spasticity	None
Pineocytoma	None
Fluctuations in consciousness	None
Petit mal seizures	None
Generalized non-motor (absence) seizure	None
Brief seizures with staring spells	None
Generalised non-motor (absence) seizure	None
Absence seizure	None
Generalised non-motor seizure	None
Petit mal seizure	None
Petit mal	None
Absence seizures	None
Speech difficulties	None
Poor speech development	None
Impaired speech development	None
Speech and language delay	None
Language delayed	None
Language development deficit	None
Deficiency of speech development	None
Delayed speech acquisition	None
Delayed speech and language development	None
Impaired speech and language development	None
Language delay	None
Delayed language development	None
Delayed speech development	None
Poor speech acquisition	None
Late-onset speech development	None
Speech and language difficulties	None
Poor language development	None
Delayed speech	None
Speech delay	None
Radermecker complexes	None
EEG with periodic complexes	None
EEG: periodic complexes	None
Tonic-clonic status epilepticus	None
Convulsive status epilepticus	None
Unilateral perisylvian polymicrogyria	None
Focal aware undressing automatism seizure	None
Focal T2 hypointense thalamic lesion	None
Intraventricular arachnoid cyst	None
Poor coordination	None
Dysgraphia	None
Intense psychological distress to cues	None
Progressive brain disease	None
Progressive encephalopathy	None
Cerebral hypomyelination	None
Hypomyelination of the brain	None
Focal impaired awareness cognitive seizure with conduction dysphasia/aphasia	None
Focal impaired awareness sensory seizure with visual features	None
Abnormal CSF neopterin concentration	None
Abnormal CSF neopterin level	None
Face of the giant panda sign	None
Midbrain panda sign	None
Duplication of spinal cord	None
Diplomyelia	None
Ataxic tremor	None
Action tremor	None
Dribbling	None
Sialorrhea	None
Drooling	None
Fungal meningitis	None
Refractory status epilepticus	None
Focal impaired awareness autonomic seizure with urge to urinate/defecate	None
Oral pharyngeal dysphagia	None
Oral-pharyngeal dysphagia	None
Oropharyngeal dysphagia	None
Neuronal loss in basal ganglia	None
Low lysine levels in cerebrospinal fluid	None
Decreased CSF lysine concentration	None
Abnormality of enteric nervous system morphology	None
Oculosympathetic palsy	None
Horner's syndrome	None
Horner syndrome	None
Cortical atrophy	None
Decrease in size of the outer layer of the brain due to loss of brain cells	None
Cerebral cortex atrophy	None
Cerebral cortical atrophy	None
Episodic paroxysmal anxiety	None
Type 2 schizencephaly	None
Bilateral perisylvian polymicrogyria	None
Hand tremor	None
Tremor of hand	None
tremors in hands	None
Tremor of hands	None
Vestibular Schwann cell tumor	None
Acoustic Neuroma	None
Vestibular neurilemmoma	None
Vestibular schwannoma	None
Vestibular neurolemmoma	None
Vestibular neurinoma	None
Vestibular Schwann cell tumour	None
EEG with frontal sharp waves	None
Periventricular ribbonlike heterotopia	None
EEG with frontal sharp slow waves	None
Confusional arousal	None
Peripheral axonal atrophy	None
Progressive polyneuropathy	None
Progressive peripheral neuropathy	None
Pituitary microadenoma	None
Degeneration of the striatum	None
Focal emotional seizure with laughing	None
Gelastic seizure	None
Gelastic seizures	None
Abnormality of taste sensation	None
Decreased CSF threonine concentration	None
Low threonine levels in the cerebrospinal fluid	None
Cerebral cortical neurodegeneration	None
Dense calcifications in the cerebellar dentate nucleus	None
CNS hypomyelination	None
Focal cognitive seizure with forced thinking	None
Facial diplegia	None
Bilateral facial weakness	None
Facial paresis, bilateral	None
Decreased CSF homovanillic acid concentration	None
Abnormality of central motor conduction	None
Hypothalamic arteriovenous malformation	None
Poor hand-eye coordination	None
OCD	None
Obsessive compulsive disorder	None
Obsessive-compulsive behavior	None
Obsessive-compulsive behaviour	None
Obsessive compulsive behaviour	None
Obsessive-compulsive disorder	None
Obsessive compulsive behavior	None
Abnormal consumption behaviour	None
Abnormal consumption behavior	None
Abnormality of the twelfth cranial nerve	None
Abnormality of cranial nerve xii	None
Abnormality of cranial nerve 12	None
Abnormality of the hypoglossal nerve	None
Enlarged interhemispheric fissure	None
Enlarged great longitudinal fissure	None
Enlarged longitudinal fissure	None
Enlarged longitudinal cerebral fissure	None
Reduced use of typical gestures	None
Falls	None
Poor social interactions	None
Impaired social interactions	None
Impaired social interaction	None
Hypocalcemic seizures	None
Seizures due to hypocalcemia	None
Low calcium seizures	None
Illusory auras	None
Focal cognitive seizure with illusion	None
Illusory aura	None
Abnormal CSF dopamine concentration	None
Abnormal CSF dopamine level	None
Cavitating leukodystrophy	None
Abnormal cranial nerve physiology	None
Abnormality of the cerebral cortex	None
Abnormal cerebral cortex morphology	None
Circumscribed interests	None
Restricted interests	None
Noncommunicating hydrocephalus	None
Waddling walk	None
Waddling gait	None
Diffusion weighted magnetic resonance imaging (DWI) abnormality	None
Diffusion weighted imaging (DWI) abnormality	None
MRI diffusion abnormality of the cerebrum	None
Abnormal diffusion weighted cerebral MRI morphology	None
Occult spinal dysraphism	None
Tethered cord	None
Progressive choreoathetosis	None
Abnormal CSF amino acid level	None
Abnormal CSF amino acid concentration	None
Abnormal cerebrospinal fluid amino acid level	None
Abnormal amino acid levels in cerebrospinal fluid	None
EEG with occipital slowing	None
Kinked brainstem	None
Kinked brain stem	None
Involuntary muscle stiffness, contraction, or spasm	None
Muscular spasticity	None
Muscle spasticity	None
Spasticity	None
Short sleep	None
Shortened sleep cycle	None
Reduced circulating prolactin concentration	None
Prolactin deficiency	None
Trigeminal anesthesia	None
Trigeminal anaesthesia	None
Anterograde memory impairment	None
Anterograde amnesia	None
Methamphetamine dependence	None
Methamphetamine addiction	None
Vivid hallucinations	None
Neuronal/glioneuronal neoplasm of the CNS	None
Neuronal/glioneuronal neoplasm of the central nervous system	None
Neuronal and mixed neuronal-glial tumour	None
Neuronal and mixed neuronal-glial tumor	None
Glioneuronal tumour	None
Glioneuronal tumor	None
Prolonged central motor conduction time	None
Abnormal hindbrain morphology	None
Abnormality of hindbrain morphology	None
Abnormal shape of hindbrain	None
Abnormality of the hindbrain	None
Abnormal neuron branching	None
Abnormal neuronal branching	None
Aberrant neuronal branching	None
Increased peripheral myelin thickness	None
Carcinoid tumors	None
Carcinoid tumour	None
Carcinoid	None
Carcinoid tumor	None
Carcinoid tumours	None
Leptomeningeal enhancement	None
Hallucinatory aura	None
Hallucinatory auras	None
Focal cognitive seizure with hallucination	None
Central sleep apnea	None
Central sleep apnoea	None
Postural tremor of arms	None
Upper limb postural tremor	None
Abnormality of the somatic nervous system	None
Symmetrical progressive peripheral demyelination	None
Partial hypotonic seizure	None
Localised atonic seizure	None
Focal atonic seizure	None
Localised hypotonic seizure	None
Localized hypotonic seizure	None
Segmental hypotonic seizure	None
Segmental atonic seizure	None
Localized atonic seizure	None
Partial atonic seizure	None
Lingual fibrillations	None
Lingual twitching	None
Tongue twitching	None
Tongue fasciculations	None
Twitching of the tongue	None
Tongue fasciculations/fibrillations	None
Tongue fasciculation	None
Lingual fasciculations	None
Facial paresis	None
Facial paralysis	None
Abnormal red nucleus morphology	None
Antalgic gait	None
Limp	None
Focal aware cognitive seizure with illusion	None
Cerebellar ataxia	None
Ataxia	None
Palmomental reflex	None
Encephalomalacia	None
Cerebral softening	None
Focal EEG discharges with propagation to ipsilateral hemisphere	None
Generalised hyperreflexia	None
Generalized hyperreflexia	None
Focal aware vocal automatism seizure	None
Increased level of ribitol in CSF	None
Increased level of ribitol in cerebrospinal fluid	None
EEG with changes in voltage	None
Repetitive compulsive behavior	None
Repetitive compulsive behaviour	None
Neonatal bilateral asymmetric tonic seizure	None
Coma, hypoglycemic	None
Hypoglycaemic coma	None
Hypoglycemic coma	None
Coma caused by low blood sugar	None
Loss of consciousness due to hypoglycemia	None
Increased pineal volume	None
Aplasia/Hypoplasia of the cerebellar vermis	None
Cerebellar vermis aplasia/hypoplasia	None
Hypo/aplastic vermis	None
Cerebellar vermis aplasia or hypoplasia	None
Loss of myelinated fibres	None
Loss of myelinated fibers	None
Decreased number of large and small myelinated fibres	None
Decreased number of peripheral myelinated nerve fibres	None
Decreased number of peripheral myelinated nerve fibers	None
Decreased number of large and small myelinated fibers	None
Chiari type III malformation	None
Arnold-Chiari type III malformation	None
Hypsarrhythmia	None
Hypsarrhythmia by EEG	None
Abnormality of the arachnoid mater	None
Abnormal arachnoid mater morphology	None
Abnormality of the arachnoidea	None
Glioma	None
Abnormal morphology of the cerebellar cortex	None
Abnormal cerebellar cortex morphology	None
Agyrophilic inclusion bodies	None
Argyrophilic inclusion bodies	None
Pick inclusion bodies	None
Hemidystonia	None
Atypical facial expressions	None
Hyperprolactinaemia	None
Prolactin excess	None
Hyperprolactinemia	None
Increased circulating prolactin concentration	None
Persistent repetition of actions	None
Neurohypophysis hypoplasia	None
Posterior pituitary hypoplasia	None
Crouch gait	None
Agenesis of putamen	None
Congenital Horner syndrome	None
Abnormality of brainstem morphology	None
Abnormal brainstem morphology	None
Abnormal shape of brainstem	None
Abnormality of the brainstem	None
Cotton wool plaques	None
CWPs	None
Episodic peripheral neuropathy	None
Chromaffin tumors	None
Chromaffin tumours	None
Pheochromocytoma	None
Entrapment neuropathy of the ulnar nerve at elbow	None
Elevated CSF amyloid level	None
Elevated CSF amyloid concentration	None
Dysplastic corpus callosum	None
Dysplasia of corpus callosum	None
Dysgenesis of corpus callosum	None
Difficulty opening the eyelids	None
Eyelid apraxia	None
Eyelid myoclonus	None
Eyelid myoclonia	None
Blepharoclonus	None
Focal head nodding automatism seizure	None
Peripheral nerve compression	None
Focal impaired awareness autonomic seizure with pupillary dilation/constriction	None
Abnormality of the cerebral falx	None
Abnormality of the falx cerebri	None
Corticotropin-secreting pituitary adenoma	None
ACTH-producing pituitary adenoma	None
Pituitary corticotropic cell adenoma	None
Focal aware emotional seizure with crying	None
Focal aware automatism seizure	None
Intracranial haemorrhage	None
Intracranial hemorrhage	None
Bleeding within the skull	None
Hypnagogic hallucinations	None
EEG with central epileptiform discharges	None
Hypoglycemic seizures	None
Focal affective seizure	None
Partial emotional seizure	None
Focal emotional seizure	None
Affective seizure	None
Emotional seizure	None
Absent cremasteric reflex	None
Absent cremaster reflex	None
Decreased cerebrospinal fluid total protein	None
Low CSF total protein	None
Decreased CSF protein	None
Decreased CSF protein concentration	None
Hypoproteinorrhachia	None
Perineural cyst	None
Tarlov cyst	None
Septo-optic dysplasia	None
De Morsier syndrome	None
Retinal hemangioblastoma	None
Retinal capillary hemangioma	None
Strokelike episodes	None
Stroke-like episodes	None
Stroke-like episode	None
Delirium	None
Prolactinoma	None
Primitive reflexes	None
Archaic reflex	None
Primitive reflex	None
Focal aware autonomic seizure with pallor/flushing	None
Myoclonic absences	None
Myoclonic absence	None
Myoclonic absence seizure	None
EEG with photoparoxysmal response grade IV	None
Subependymal germinolytic cyst	None
Subependymal cysts	None
Subependymal pseudocyst	None
EEG with parietal focal spike waves	None
Self-injurious behaviors	None
Autoagression	None
Self-harm	None
Self-injurious behavior	None
Self injury	None
Self-injurious behaviours	None
Self-injurious behaviour	None
Pneumocystis jirovecii pneumonia	None
Post-vaccination rotavirus infection	None
Anti-mGluR1 antibody	None
Anti-metabotropic glutamate receptor 1 antibody	None
Giant cell hepatitis	None
Giant cell hepatitis on liver biopsy	None
Giant cell hepatitis on biopsy	None
Giant cell hepatitis shown on biopsy	None
Recurrent bladder infections	None
Recurrent cystitis	None
Decreased proportion of CD4-positive T cells	None
Decreased proportion of CD4-positive, alpha-beta T cells	None
Decreased proportion of CD4+ cells	None
Reduced proportion of CD4-positive cells	None
Meibomian gland disease	None
Meibomian gland dysfunction	None
Posterior blepharitis	None
Abnormal proportion of CD4-positive, alpha-beta T cells	None
Abnormal proportion of CD4+ T cells	None
Abnormal proportion of CD4-positive T cells	None
Abnormal circulating interleukin 21 concentration	None
Increased proportion of gamma-delta T lymphocytes	None
Increased proportion of gamma-delta T-lymphocytes	None
Increased proportion of gamma-delta T cells	None
Increased proportion of gammadelta T cells	None
Elevated proportion of gamma-delta T cells	None
Increased proportion of gamma-delta T-cells	None
Valley fever	None
Coccidioidomycosis	None
Abnormality of the immune system	None
Immunological abnormality	None
Anti-Ma antibody positivity	None
Recurrent parasitic infections	None
Iodine contrast allergy	None
Sterile abscess	None
Eosinophilic infiltration of the esophagus	None
Eosinophilic esophagitis	None
Eosinophilic infiltration of the oesophagus	None
Increased anti-venom IgE antibody level	None
Recurrent shingles	None
Thymic hypoplasia	None
Hypoplasia of the thymus	None
Small thymus	None
Thymus hypoplasia	None
Vulvar abscess	None
Complete or near-complete absence of specific antibody response to meningococcus vaccine	None
Recurrent gram-negative bacterial infections	None
Anti-MIT3 antibody positivity	None
Mucopurulent discharge from the eye	None
Purulent eye discharge	None
Chronic (near) absent IgM in blood	None
Chronic absent circulating IgD	None
Increased proportion of central memory CD4-positive, alpha-beta T cells	None
Increased proportion of CD4+ central memory cells	None
Elevated proportion central memory CD4-positive, alpha-beta T cells	None
Increased proportion of central memory CD4+, alpha-beta T cell	None
Elevated proportion of CD4+ central memory cells	None
Allergy to eggs	None
Immunoglobulin E-mediated egg allergy	None
IgE-mediated egg allergy	None
Egg allergy	None
Recurrent pyelonephritis	None
Anti-Septin-5 antibody	None
Anti-low-density lipoprotein receptor-related protein 4 antibody	None
Anti-Lrp4 antibody positivity	None
Anti-PR3 antibody positivity	None
Anti-proteinase 3 antibody positivity	None
Anti-GD1b IgG antibody positivity	None
Abnormal nasopharyngeal adenoid morphology	None
Abnormality of pharyngeal tonsil	None
Abnormality of nasopharyngeal tonsil	None
Abnormality of nasopharyngeal adenoids	None
Abnormality of adenoids	None
Abnormal proportion of naive T cells	None
Abnormal proportion of naive thymus-derived, alpha-beta T cells	None
Abnormal naive T cell proportion	None
Tubo-ovarian abscess	None
Decreased eosinophil count	None
Anti-desmoplakin II antibody positivity	None
Increased serum interleukin-8	None
Increased serum interleukin 8	None
Increased circulating interleukin 8 concentration	None
Increased serum IL-8	None
Infectious encephalitis	None
Brain inflammation	None
Bacterial endocarditis	None
Infective endocarditis	None
Monoclonal elevation of IgG lambda chain	None
Autoimmune thrombocytopenia	None
Idiopathic thrombocytopenia	None
Immune thrombocytopenia	None
Idiopathic thrombocytopenic purpura	None
Decreased CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Poor CD25 upregulation upon TCR activation	None
Decreased serum C3	None
Decreased serum complement C3 level	None
Decreased serum complement C3	None
Neonatal sepsis	None
Anti-epidermal transglutaminase antibody positivity	None
Anti-epidermal transglutaminase (anti-eTG) antibody	None
Anti-keratinocyte transglutaminase	None
Anti-TG3 antibody	None
Anti-eTG antibody positivity	None
Testicular abscess	None
Intratesticular abscess	None
Glomerulonephritis	None
Glomerular nephritis	None
Venous eczema	None
Varicose eczema	None
Stasis dermatitis	None
Transient decreaseed IgD in blood	None
Transient decreased circulating IgD	None
Reduced circulating interleukin 27 concentration	None
Monoclonal elevation of IgG	None
Faltering weight secondary to recurrent infections	None
Failure to thrive secondary to recurrent infections	None
Weight faltering secondary to recurrent infections	None
Increased neutrophil mitochondria	None
BCGiosis	None
BCGosis	None
Disseminated Bacillus Calmette-Guerin infection	None
Splenic abscess	None
Abnormality of immune serum protein physiology	None
Increased circulating interleukin 10 concentration	None
Increased serum interleukin 10	None
Recurrent viral infections	None
Anterior blepharitis	None
Acute colitis	None
Follicular hyperplasia	None
Acute leukaemia	None
Acute leukemia	None
Acute blood cancer	None
Acute leukemias	None
Uveitis	None
Recurrent aspiration pneumonia	None
Recurrent pneumonia due to aspiration,	None
Chronic decreased circulating total IgG	None
Chronic decreased total IgG in blood	None
Increased proportion of CD8-positive, alpha-beta memory T cells	None
C4b deficiency	None
Complement component 4B deficiency	None
Decreased serum complement C4b	None
Cryptococcal meningitis	None
Anti-PL-12 antibody positivity	None
Anti-alanyl-tRNA synthetase antibody positivity	None
Antiphospholipid antibodies	None
Phospholipid antibody positivity	None
Antiphospholipid antibody positivity	None
Antiphospholipid antibody	None
Increased lymphocyte apoptosis	None
Abnormality of neutrophil physiology	None
Abnormal monocyte morphology	None
Anti-HK-1 antibody positivity	None
Anti-hexokinase-1 antibody positivity	None
T-cell acute lymphoblastic leukemias	None
Abnormal thoracic duct morphology	None
Viral hepatitis	None
Crusting erythematous dermatitis	None
Inguinal abscess	None
Groin abscess	None
Serositis	None
Large vacuolated foam cells ('NP cells') on bone marrow biopsy	None
Bone-marrow foam cells	None
Large vacuolated foam cells on bone marrow biopsy	None
Bone marrow foam cells	None
Polyclonal elevation of circulating IgE	None
Abnormality of chemokine secretion	None
Increased anti-parasite IgE antibody level	None
Eosinophilic dermal infiltration	None
Eosinophilic dermatitis	None
Unifocal splenic abscess	None
Unilocular splenic abscess	None
Solitary splenic abscess	None
Abnormal circulating interleukin 27 concentration	None
Elevated proportion of naive T cells	None
Increased proportion of naive T cells	None
Increased proportion of naive thymus-derived, alpha-beta T cells	None
Class II lupus nephritis	None
Mesangial proliferative lupus nephritis	None
Absent specific antibody response	None
Chronic tinea infection	None
Abnormal natural killer cell count	None
Abnormal number of natural killer cells	None
Abnormal NK cell count	None
Abnormality of natural killer cell count	None
Decreased serum complement factor B	None
Decreased serum factor b	None
Reduced proportion of mucosal-associated invariant T cells	None
Decreased serum complement C4	None
Decreased serum complement C4 level	None
Increased levels of IgD	None
Increased serum IgD	None
Elevated serum IgD	None
Increased circulating IgD level	None
IgD hypergammaglobulinemia	None
Increased IgD level	None
Elevated IgD	None
Abnormal proportion of naive CD8 T cells	None
Anti-cyclic citrullinated peptide antibody positivity	None
Anti-CCP antibody positivity	None
Acute myelogenous leukemia	None
