Pneumomediastinum	HP:0025421
Abnormality of the bones of the 3rd toe	None
Abnormality of the phalanges of the 3rd toe	None
Increased bone density of end part of the 2nd toe	None
Ivory epiphyses of the 2nd toe	None
Sclerosis of humerus	None
Increased bone density in long bone of upper arm	None
Humeral sclerosis	None
Curvature of 3rd toe	None
Clinodactyly of the 3rd toe	None
3rd toe clinodactyly	None
Abnormality of the epiphysis of the 4th metacarpal	None
Abnormality of the end part of the 4th long bone of hand	None
Abnormal middle bones of toe	None
Abnormality of the middle phalanges of the toes	None
1-5 finger complete cutaneous syndactyly	None
Palmoplantar keratoderma	None
Thickening of palms and soles	None
Palmar and plantar keratoderma	None
Hip flexor weakness	None
Aplasia of the proximal phalanx of the thumb	None
Absent proximal phalanx of thumb	None
Absent ossification/absent proximal thumb phalanx	None
Absent innermost thumb bone	None
Irregular epiphysis of the distal phalanx of the 2nd finger	None
Irregular end part of the outermost bone of the index finger	None
Wide shaft of long bone	None
Broad shaft of long bone	None
Broad long bone diaphyses	None
Irregular end part of the outermost bone of the 4th toe	None
Irregular epiphysis of the distal phalanx of the 4th toe	None
Osteolysis involving metatarsal bones	None
Metatarsal osteolysis	None
Cone-shaped epiphyses of the 3rd toe	None
Cone-shaped end part of the 3rd toe bone	None
Lytic defects of middle finger phalanges	None
Osteolytic defects of the phalanges of the 3rd finger	None
Hand polydactyly	None
Polydactyly of the hand	None
Extra finger	None
Finger polydactyly	None
Supernumerary finger	None
Slender long bone of upper arm	None
Slender humerus	None
Stippling of the epiphyses of the distal phalanges of the hand	None
Speckled calcifications in the end part of the outermost hand bones	None
Equinovarus deformity	None
Abnormal morphology of the proximal phalanx of the hallux	None
Abnormality of the proximal phalanx of the hallux	None
Abnormal innermost big toe bone	None
Toe extensor amyotrophy	None
Ulnar deviation of the hand	None
Ulnar deviation of the hands	None
Ulnar deviation of hands	None
Madelung deformity	None
Madelung wrist deformity	None
Absent/small outermost little toe bone	None
Absent/small outermost pinky toe bone	None
Aplasia/Hypoplasia of the distal phalanx of the 5th toe	None
Absent/underdeveloped outermost pinky toe bone	None
Absent/small outermost pinkie toe bone	None
Irregular patellar contour	None
Irregular patellae	None
Irregular patellar margins	None
Webbed first through fourth toes	None
1-4 toe syndactyly	None
Abnormality of the knee	None
Absent end part of innermost long bone of the middle finger	None
Absent epiphysis of the proximal phalanx of the 3rd finger	None
Triangular end part of the little toe bone	None
Triangular end part of the pinky toe bone	None
Triangular end part of the pinkie toe bone	None
Triangular epiphyses of the 5th toe	None
Triangular end part of the outermost bone of the index finger	None
Triangular epiphysis of the distal phalanx of the 2nd finger	None
Aplasia/Hypoplasia involving bones of the feet	None
Absent/underdeveloped foot bones	None
Absent/small foot bones	None
Contracture of the tarsometatarsal joint of the hallux	None
Curved thumb phalanx	None
Curved thumb bone	None
Curved phalanges of the thumb	None
Deviation of the 3rd finger	None
Deviated middle finger	None
Thick fibula	None
Increased fibular diameter	None
Thick fibulae	None
Wide calf bone	None
Wide fibula	None
Abnormality of phalangeal joints of the hand	None
Abnormal phalangeal joint morphology of the hand	None
Abnormality of the small joints of the hand	None
Osteolysis involving bones of the feet	None
Abnormality of tibial epiphyses	None
Abnormality of end part of shinbone	None
Osteoarthritis of the first carpometacarpal joint	None
Abnormality of radial diaphysis	None
Legg-Calve-Perthes syndrome	None
Morbus Legg-Calve-Perthes	None
Legg-Perthes disease	None
Osteochondrosis of the femoral head	None
Coxa plana	None
Osteonecrosis of the femoral head	None
Perthes-like femoral head changes	None
Avascular necrosis of the capital femoral epiphysis	None
Absent epiphyses of the thumb	None
Proximally placed lunate	None
Speckled calcifications in the end part of the innermost bone of the pinkie toe	None
Stippling of the epiphysis of the proximal phalanx of the 5th toe	None
Speckled calcifications in the end part of the innermost bone of the pinky toe	None
Speckled calcifications in the end part of the innermost bone of the little toe	None
Finger bends toward pinky	None
Ulnar deviation of finger	None
Ulnar Drift	None
Large unciform bone	None
Large hamate bone	None
Fused middle and innermost bones of 2nd toe	None
Proximal/middle symphalangism of 2nd toe	None
Symphalangism of the middle and proximal phalanges of the 2nd toe	None
Periosteal new bone of humerus	None
Delayed ossification of carpal bones	None
Delayed carpal ossification	None
Delayed maturation of carpal bones	None
Delayed carpal bone age	None
Carpal delayed ossification	None
Delayed maturation of wrist bone	None
Disproportionate prominence of the femoral medial condyle	None
Abnormalities of the diaphyses of the hand	None
Abnormal hand diaphysis morphology	None
Abnormalities of shaft of long bone of the hand	None
Abnormality of the third metatarsal bone	None
Abnormality of the 3rd long bone of foot	None
Abnormality of the humeri	None
Abnormality of the humerus	None
Absent epiphysis of the proximal phalanx of the 2nd toe	None
Absent end part of the innermost bone of the 2nd toe	None
Abnormality of the tibial plateaux	None
Contracture of the proximal interphalangeal joint of the 5th finger	None
Cone-shaped end part of the index finger	None
Cone-shaped epiphyses of the 2nd finger	None
Pseudarthrosis of the forearm bones	None
Limb-girdle muscular dystrophy	None
limb girdle muscular dystrophy	None
Rudimentary 2nd metacarpal	None
Hypoplastic 2nd metacarpal	None
Shortened 2nd long bone of hand	None
Short 2nd metacarpal	None
Fragmentation of the epiphysis of the middle phalanx of the 3rd toe	None
Fragmentation of the end part of the middle bone of the 3rd toe	None
Osteolytic defects of the proximal phalanx of the 5th finger	None
Slender middle phalanx of finger	None
Slender middle bone of finger	None
Ivory epiphysis of the proximal phalanx of the 2nd finger	None
Increased bone density of end part of the innermost bone of the index finger	None
Curved toe phalanx	None
Curved phalanges of the toes	None
Curved toe bone	None
Stippling of the epiphysis of the distal phalanx of the 4th toe	None
Speckled calcifications in the end part of the outermost bone of the 4th toe	None
Absent/underdeveloped big toe	None
Aplastic/hypoplastic halluces	None
Absent/small big toe	None
Aplasia/Hypoplasia of the hallux	None
Pseudoepiphysis of the 1st metacarpal	None
Notched innermost bone of thumb	None
Partial/complete duplication of the proximal phalanx of the thumb	None
Duplication of the proximal phalanx of the thumb	None
Large knee	None
Contracture of the metacarpophalangeal joint of the 4th finger	None
Absent end part of the outermost bone of the little toe	None
Absent end part of the outermost bone of the pinkie toe	None
Absent epiphysis of the distal phalanx of the 5th toe	None
Absent end part of the outermost bone of the pinky toe	None
Speckled calcifications in the end part of the middle hand bones	None
Stippling of the epiphyses of the middle phalanges of the hand	None
Lytic defects of the phalanges of the ring finger	None
Osteolytic defects of the phalanges of the 4th finger	None
Irregular end part of innermost thighbone	None
Irregular capital femoral epiphysis	None
Irregular capital femoral epiphyses	None
Irregular proximal femoral epiphyses	None
Deviation of the hand or of fingers of the hand	None
Displaced hand or fingers of the hand	None
Hypoplasia of the capital femoral epiphysis	None
Small capital femoral epiphyses	None
Small femoral capital epiphyses	None
Small proximal femoral epiphyses	None
Underdevelopment of the innermost thighbone end part	None
Small innermost thighbone end part	None
Absent middle bone of middle finger	None
Absent middle phalanx of 3rd finger	None
Aplasia of the middle phalanx of the 3rd finger	None
Absent middle phalanx of middle finger	None
Stippling of the epiphysis of the proximal phalanx of the 2nd toe	None
Speckled calcifications in the end part of the innermost bone of the 2nd toe	None
Partial/complete duplication of the middle phalanges of the hand	None
Duplication of the middle phalanx of hand	None
Duplication of the middle bones of hand	None
Pseudoepiphyses of the toes	None
Absent/underdeveloped middle finger bone	None
Aplasia/Hypoplasia of the phalanges of the 3rd finger	None
Small middle finger phalanges	None
Absent/small middle finger bone	None
Short middle finger phalanges	None
Hypoplastic middle finger phalanges	None
Triangular shaped innermost toe bones	None
Triangular shaped proximal phalanges of the toes	None
Abnormal CSF ornithine concentration	None
Abnormal ornithine levels in cerebrospinal fluid	None
Sensory ataxic neuropathy	None
EEG with central epileptiform discharges	None
Decreased NCV	None
Decreased nerve conduction velocities	None
Reduced nerve conduction velocities	None
Decreased nerve conduction velocity	None
Slowed nerve conduction velocities	None
Delayed nerve conduction velocity	None
Slow nerve conduction velocity	None
Abnormal CSF threonine concentration	None
Abnormal threonine levels in cerebrospinal fluid	None
Severe demyelination of the white matter	None
Fatigable weakness of distal limb muscles	None
Episodic paroxysmal anxiety	None
Necrotizing encephalopathy	None
Narrowing of aqueduct of Sylvius	None
Aqueduct stenosis	None
Aqueduct of Sylvius stenosis	None
Aqueductal stenosis	None
Taurine high in CSF	None
Increased CSF taurine concentration	None
Subcortical band heterotopia	None
Inappropriate sexual behaviour	None
Inappropriate sexual behavior	None
Neonatal electro-clinical seizure	None
Axial dystonia	None
Truncal dystonia	None
Steppage gait	None
High stepping	None
Abulia	None
Aboulia	None
Tumors of the central nervous system	None
Neoplasm of the CNS	None
Tumours of the central nervous system	None
Neoplasia of the central nervous system	None
Neoplasm of the central nervous system	None
Clusters of axonal regeneration	None
Focal autonomic seizure with pupillary dilation/constriction	None
Diffuse leukoencephalopathy	None
More grooves in brain	None
Polymicrogyria	None
Infantile spasms	None
Occipital meningoencephalocele	None
Brain tissue sticks out through back of skull	None
Occipital encephalocele	None
Posterior encephalocele	None
Superior cerebellar dysplasia	None
Duplication of spinal cord	None
Diplomyelia	None
Abnormality of the cerebral cortex	None
Abnormal cerebral cortex morphology	None
Neonatal multifocal clonic seizure	None
Atrophy/Degeneration affecting the CNS	None
Atrophy/Degeneration affecting the central nervous system	None
Abnormality of the cerebral vasculature	None
Abnormal cerebral vascular morphology	None
Abnormality of the cerebral blood vessels	None
Pica	None
Spinal cord tumor	None
Spinal tumour	None
Spinal tumor	None
Spinal tumours	None
Spinal cord tumour	None
Tumour of the spinal cord	None
Tumor of the spinal cord	None
Spinal tumors	None
Local myoclonic seizures	None
Localized myoclonic seizure	None
Segmental myoclonic seizure	None
Focal myoclonic seizure	None
Partial myoclonic seizure	None
Focal myoclonic seizures	None
Localised myoclonic seizure	None
Segmental myoclonic seizures	None
Partial myoclonic seizures	None
High leucine levels in cerebrospinal fluid	None
Increased CSF leucine concentration	None
Cerebellar dysplasia	None
Vestibular aura	None
Partial vestibular seizure	None
Focal sensory seizure with vestibular features	None
Focal vestibular seizure	None
EEG with diffuse acceleration	None
Meningitis	None
Atrophy/Degeneration involving the corticospinal tracts	None
Fixated interest with abnormal intensity	None
Sleep paralysis	None
Agenesis of pineal gland	None
Epigastric auras	None
Localised seizure with epigastric sensation	None
Partial seizure with epigastric sensation	None
Visceral aura	None
Epigastric aura	None
Abdominal aura	None
Localized seizure with epigastric sensation	None
Focal autonomic seizure with epigastric sensation/nausea/vomiting/other gastrointestinal phenomena	None
Temporal lobe calcification	None
NREM parasomnia	None
Non-rapid eye movement parasomnia	None
Focal aware autonomic seizure with epigastric sensation/nausea/vomiting/other gastrointestinal phenomena	None
Cerebellar gliosis	None
EEG: generalised low amplitude activity	None
EEG with generalized low amplitude activity	None
EEG with generalised low amplitude activity	None
Cerebral colloid bodies	None
Cerebral hyaline bodies	None
Slowed slurred speech	None
Impulsivity	None
Impulsive	None
Regression of motor skills	None
Motor regression	None
Focal impaired awareness cognitive seizure with hallucination	None
EEG: localised slow activity	None
EEG: localized slow activity	None
EEG with focal slow activity	None
EEG: focal slow activity	None
Underdeveloped hippocampus	None
Hypoplastic hippocampus	None
Small hippocampus	None
Abnormal spinal cord physiology	None
Increased peripheral myelin thickness	None
Abnormal red nucleus morphology	None
Grade III preterm intraventricular haemorrhage	None
Grade III preterm intraventricular hemorrhage	None
Focal hypointensity of cerebral white matter on MRI	None
Hyperactive behavior	None
Hyperactivity	None
Hyperactive behaviour	None
More active than typical	None
Hyperlactatorachia	None
Increased CSF lactate	None
Increased cerebrospinal fluid lactate	None
Increased CSF lactic acid	None
Abnormality of the nervus trigeminus	None
Abnormal trigeminal nerve morphology	None
Abnormality of the fifth cranial nerve	None
Abnormal fifth cranial nerve morphology	None
Painless fractures due to injury	None
Confluent hypointensity of cerebral white matter on MRI	None
Focal hemifacial clonic seizure	None
Hemifacial seizures	None
Areflexia of biceps	None
Biceps areflexia	None
Spinal cord lesion	None
Abnormality of the seventh cranial nerve	None
Abnormality of the facial nerve	None
Palmar neurofibromas	None
Beta-EEG	None
Beta wave electroencephalography	None
Focal aware behaviour arrest seizure	None
Focal aware behavior arrest seizure	None
Focal aware autonomic seizure with palpitations/tachycardia/bradycardia/asystole	None
Simple febrile seizures	None
Simple fever fit	None
Simple febrile seizure	None
Simple febrile convulsion	None
Enlarged cerebellum	None
Decreased CSF leucine concentration	None
Low leucine levels in cerebrospinal fluid	None
Deficit in nonword repetition	None
Impaired self monitoring	None
Hyperglycorrhachia	None
Increased CSF glucose	None
Biceps hyperreflexia	None
Porencephalic cyst	None
Cavity within brain	None
Alcoholism	None
Anterograde memory impairment	None
Anterograde amnesia	None
Abnormality of peripheral somatosensory evoked potentials	None
Repeated focal motor seizures	None
Jacksonian status epilepticus	None
EEG with parietal sharp waves	None
Abnormality of proprioception	None
Impaired proprioception	None
EEG with central focal spikes	None
Persistent preoccupation with parts of objects	None
Atrophy/Degeneration involving the caudate nucleus	None
Pulmonary paraglioma	None
Posterior communicating artery infundibulum	None
Subcortical band heterotopia diffuse	None
Diffuse subcortical band heterotopia	None
Spinal neurenteric cyst	None
Vocal cord paralysis	None
Laryngeal paralysis	None
Inability to move vocal cords	None
Focal pedal automatism seizure	None
Hydromyelia	None
Vestibular Schwann cell tumor	None
Acoustic Neuroma	None
Vestibular neurilemmoma	None
Vestibular schwannoma	None
Vestibular neurolemmoma	None
Vestibular neurinoma	None
Vestibular Schwann cell tumour	None
Neurohypophyseal diabetes insipidus	None
Central diabetes insipidus	None
T2 hypointense thalamus	None
Abnormal posterior circulating artery morphology	None
Abnormal PNS synaptic transmission	None
Abnormal peripheral nervous system synaptic transmission	None
Cerebellar malformation	None
Receptive aphasia	None
Fluent aphasia	None
Wernicke aphasia	None
Gross motor impairment	None
Poor gross motor coordination	None
Dural ectasia	None
Self-mutilation	None
Deliberate self-harm	None
Self mutilation	None
Abnormal CSF protein level	None
Abnormal CSF protein concentration	None
Abnormality of central nervous system electrophysiology	None
Abnormality of CNS electrophysiology	None
Focal undressing automatism seizure	None
Posterior cerebral artery stenosis	None
Cerebellar edema	None
Edema of the cerebellum	None
Cerebellar oedema	None
Oedema of the cerebellum	None
Thalamic calcification	None
Abnormality of extrapyramidal motor function	None
Extrapyramidal tract signs	None
Extrapyramidal dysfunction	None
Extrapyramidal syndrome	None
Extrapyramidal signs	None
Extrapyramidal symptoms	None
Curvilinear pericallosal lipoma	None
Developmental stagnation	None
Developmental arrest	None
Fatigable weakness of neck muscles	None
Microprolactinoma	None
Bell's palsy	None
Seventh cranial nerve palsy	None
Facial nerve paralysis	None
Facial nerve palsy	None
Facial muscle weakness of muscles innervated by CN VII	None
VII th cranial nerve palsy	None
Facial palsy, unilateral or bilateral	None
Cranial nerve VII palsy	None
Facial palsy	None
Glioma	None
Chaddock reflex	None
Abnormality of SSEPs	None
Abnormality of somatosensory evoked potentials	None
Athetosis	None
Involuntary writhing movements in fingers, hands, toes, and feet	None
Involuntary writhing movements	None
Athetoid movements	None
Cerebral germinoma	None
Pineal gland calcification	None
Degenerative enteric neuropathy	None
Enteric neuronal degeneration	None
Occipital neuralgia	None
Olivary degeneration	None
EEG with hyperventilation-induced generalised epileptiform discharges	None
EEG with hyperventilation-induced generalized epileptiform discharges	None
Focal impaired awareness emotional seizure with paranoia	None
Motor tics	None
Spinal hypomyelination	None
Bilateral multifocal epileptiform discharges	None
EEG with frontal sharp waves	None
Delayed ability to walk with support	None
Delayed ability to cruise	None
Abnormal size of pituitary gland	None
Rhombencephalosynapsis	None
Lost taste	None
Ageusia	None
Impaired taste sensation	None
Absent sense of taste	None
Developmental stagnation at onset of seizures	None
Focal lissencephaly	None
Dysautonomia	None
Abnormal autonomic nervous system physiology	None
Autonomic dysregulation	None
Autonomic dysfunction	None
Large basal ganglia	None
Anomaly of the basal ganglia	None
Abnormality of the basal ganglia	None
Basal ganglia disease	None
Abnormal basal ganglia morphology	None
Absent optic tract	None
Aplasia of the optic tract	None
Proprioceptive-induced seizure	None
EEG with parietal focal spike waves	None
Abnormal eating behavior	None
Abnormal eating behaviour	None
Hypnopompic hallucinations	None
Episodic paralysis	None
Periodic paralysis	None
Atypical absence	None
Atypical petit mal seizures	None
Atypical absence seizures	None
Atypical absence seizure	None
Malignant neoplasm of the central nervous system	None
Malignant neoplasm of the CNS	None
Progressive truncal ataxia	None
Abnormal prolactin level	None
EEG with occipital sharp waves	None
EEG with central sharp waves	None
Focal aware sensory seizure with olfactory features	None
Brain iron deposition	None
Iron accumulation in brain	None
Extreme sensitivity of the eyes to light	None
Photophobia	None
Photodysphoria	None
Light hypersensitivity	None
Interhemispheric cyst	None
Myoclonic status epilepticus without coma	None
Calcified choroid plexus	None
Choroid plexus calcification	None
Aplasia/Hypoplasia of the mesencephalon	None
Aplasia/Hypoplasia of the midbrain	None
Reduced motor nerve conduction velocity	None
Decreased motor NCV	None
Decreased motor nerve conduction velocities	None
Decreased motor nerve conduction velocity	None
Polymorphic focal epileptiform discharges	None
Absence of interest in peers	None
Respiratory paralysis	None
Flat line EEG	None
EEG with generalised slow activity grade 4	None
EEG with generalized slow activity grade 4	None
Segmental peripheral demyelination/remyelination	None
Segmental demyelination/remyelination	None
Decreased or absent ankle reflexes	None
Decreased/absent ankle reflexes	None
Impaired fine motor skills	None
Poor fine motor coordination	None
Fine motor disability	None
Fine motor impairment	None
Fine motor skill dysfunction	None
Asterixis	None
Tearfulness	None
Recurrent cerebral hemorrhage	None
Recurrent cerebral haemorrhage	None
Recurrent hemorrhagic stroke	None
Abnormal CSF aromatic amino acid concentration	None
Abnormal aromatic amino acid levels in cerebrospinal fluid	None
Dysphonia	None
Inability to produce voice sounds	None
Voice change	None
Occult spinal dysraphism	None
Tethered cord	None
Movement disorder	None
Abnormality of movement	None
Unusual movement	None
Small pituitary gland	None
Decreased CSF homovanillic acid concentration	None
Specific anosmia	None
Basal ganglia necrosis	None
Globus pallidus hypointensity on susceptibility-weighted imaging	None
Abnormality of the myencephalon	None
Abnormal medulla oblongata morphology	None
Abnormality of the medulla oblongata	None
Angiotensin-converting enzyme (ACE) high in CSF	None
Elevated CSF angiotensin-converting enzyme concentration	None
Hypoglycemic encephalopathy	None
Involuntary dystonic or choreiform movements	None
Paroxysmal dyskinesia	None
Neonatal electro-clinical autonomic seizure	None
Posterior leukoencephalopathy	None
Neuritis	None
Methylphenidate dependence	None
Methylphenidate addiction	None
Intracranial haemorrhage	None
Intracranial hemorrhage	None
Bleeding within the skull	None
Lack of peer relationships	None
Focal cognitive seizure with conduction dysphasia/aphasia	None
Elevated CSF biopterin level	None
Inappropriate crying	None
Cognitive aura	None
Cognitive seizure	None
Focal cognitive seizure	None
Partial cognitive seizure	None
Dysgyria with thickened cortex	None
Terminal tremor	None
Intention tremor	None
Cerebellar tremor	None
Happy demeanour	None
Happy demeanor	None
Abnormal glutamic acid levels in cerebrospinal fluid	None
Abnormal CSF glutamate concentration	None
Immunoglobulin E-mediated venom allergy	None
Allergy to venom	None
IgE-mediated venom allergy	None
Venom allergy	None
Pericardial lymphangiectasia	None
Increased circulating interleukin 22 concentration	None
Panniculitis	None
Inflammation of fat tissue	None
Inflammation of adipose tissue	None
Increased CD4:CD8 ratio	None
Unusual helminthic infection	None
Abnormal circulating IgE level	None
Abnormal IgE level in blood	None
Unusual infection by anatomical site	None
Decreased circulating IgG4 level	None
Decreased IgG4 level in blood	None
Recurrent abscess formation	None
Lymph node hypoplasia	None
Small lymph nodes	None
Superficial perivascular inflammatory infiltrate	None
Superficial dermal perivascular inflammatory infiltrate	None
Monomorphic vesicular eruption	None
Nontuberculous mycobacterial pulmonary infection	None
Xanthogranulomatous pyelonephritis	None
Abnormal double-negative alpha-beta regulatory T cell distribution	None
Abnormal CD4-negative, CD8-negative, alpha-beta regulatory T cell distribution	None
Abnormal proportion of double-negative alpha-beta regulatory T cell	None
Abnormal Double negative Treg distribution	None
Abnormal DN Treg distribution	None
Vulvar abscess	None
Chronic furunculosis	None
Eczema around the mouth	None
Perioral eczema	None
Episcleritis	None
Inflammation of the thin layer on top of the white part of eye	None
Supernumerary spleens	None
Extra spleen	None
Chronic (near) absent circulating IgG1	None
Chronic (near) absent IgG1 in blood	None
Increased circulating interleukin 2 concentration	None
IL-2 high in blood	None
Libman-Sacks lesions	None
Severe influenza infection	None
Intestinal inflammation	None
Decreased basophil count	None
Drug-induced agranulocytosis	None
Persistent human papillomavirus infection	None
Abnormal circulating interferon-gamma concentration	None
Abnormal serum interferon-gamma level	None
Opportunistic viral infection	None
Colitis	None
Immediate-type hypersensitivity drug reaction	None
Chronic candidiasis of mucosa, skin and nails	None
Chronic mucocutaneous candidiasis	None
Mucocutaneous candidiasis	None
Hypereosinophilia	None
Increased proportion of effector memory CD8-positive, alpha-beta T cells	None
Anti-sphingolipid antibody positivity	None
Hepatic mastocytosis	None
Keratoconjunctivitis sicca	None
Dry eye syndrome	None
Keratitis sicca	None
Dry eyes	None
Xerophthalmia	None
Fungal allergy	None
Fungus allergy	None
Allergy to fungi	None
Immunoglobulin E-mediated fungi allergy	None
Fungi allergy	None
IgE-mediated fungi allergy	None
Anti-epidermal transglutaminase antibody positivity	None
Anti-epidermal transglutaminase (anti-eTG) antibody	None
Anti-keratinocyte transglutaminase	None
Anti-TG3 antibody	None
Anti-eTG antibody positivity	None
Discoid lupus rash	None
Discoid lupus erythematosus	None
Decreased proportion of transitional B cells	None
Decreased proportion of CD19+CD38+IgM+ cells	None
Allergy to dust mites	None
IgE-mediated dust mite allergy	None
Dust mite allergy	None
Immunoglobulin E-mediated dust mite allergy	None
Bile duct inflammation	None
Cholangitis	None
Anti-laminin 6 antibody positivity	None
Recurrent Burkholderia cepacia infections	None
Chronic (near) absent circulating IgG3	None
Chronic (near) absent IgG3 in blood	None
Increased level of anti-plant based food allergen IgE antibody	None
Increased anti-plant based food allergen IgE antibody level	None
Follicular hyperplasia	None
Decreased proportion of CD19+CD27+IgD- cells	None
Decreased proportion of class-switched memory B cells	None
Abnormal proportion of CD4-positive, alpha-beta T cells	None
Abnormal proportion of CD4+ T cells	None
Abnormal proportion of CD4-positive T cells	None
Meat allergen allergy	None
Meat allergy	None
IgE-mediated meat allergen allergy	None
Immunoglobulin E-mediated meat allergen allergy	None
Allergy to meat allergens	None
Abnormal white blood cell count	None
Abnormal leukocyte count	None
Decreased specific anti-polysaccharide antibody level	None
Low specific anti-polysaccharide antibody titer	None
Depressed antibody response to polysaccharide antigens	None
Specific anti-polysaccharide antibody deficiency	None
Anti-Mi2 antibody positivity	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Abnormal plasmablast proportion	None
Anorectal abscess	None
Recurrent cutaneous abscess formation	None
Chronic leukaemia	None
Chronic blood cancer	None
Chronic leukemia	None
Increased circulating interleukin 10 concentration	None
Increased serum interleukin 10	None
Focal lupus nephritis	None
Class III lupus nephritis	None
Mycobacterium abscessus abscessus infection	None
Nose chondritis	None
Nasal chondritis	None
Antilactoferrin antibody positivity	None
Anti-Anti-leucine-rich glioma-inactivated 1 antibody	None
Anti-LGI1 antibody	None
Increased anti-feather IgE antibody level	None
Recurrent enteroviral infections	None
Pseudo-chilblains on toes	None
Chilblain-like toes	None
COVID toe	None
Chilblain-like toe lesions	None
AGA autoantibodies	None
Antigliadin antibody positivity	None
Psoriasis	None
Psoriasiform dermatitis	None
Anti-La/SS-B antibody positivity	None
Recurrent infections in infancy and early childhood	None
Serositis	None
Allergic conjunctivitis	None
Orange coloured tonsils	None
Tonsils with orange deposits	None
Orange tonsils	None
Orange discolored tonsils	None
Orange discoloured tonsils	None
Orange colored tonsils	None
p-ANCA positivity	None
Perinuclear antineutrophil antibody positivity	None
Abnormal CD25 upregulation upon TCR activation	None
T cell chronic lymphocytic lymphoma/leukemia	None
Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell count	None
Anti-MPO antibody positivity	None
Anti-myeloperoxidase antibody positivity	None
Anti-glial fibrillary acidic protein antibody	None
Anti-GFAP antibody	None
Anti-Jo-1 antibody positivity	None
Anti-JO1 antibody positivity	None
Anti-histidyl tRNA synthetase antibody positivity	None
Abnormal cytokine signaling	None
Abnormal cytokine signalling	None
Inflammation of spinal cord	None
Myelitis	None
Leukocyte migration defect	None
Abnormal leukocyte migration	None
Defects of leukocyte migration	None
Neutrophilia in absence of infection	None
Immunoglobulin E-mediated plant product allergy	None
Allergy to plant products	None
Plant product allergy	None
IgE-mediated plant product allergy	None
Systemic lupus erythematosus	None
SLE	None
Increased anti-food allergen IgE antibody level	None
Increased level of anti-food allergen IgE antibody	None
Monoclonal elevation of circulating IgA	None
Complement deficiency	None
Recurrent Staphylococcus aureus infections	None
Staphylococcus aureus infections, recurrent	None
Anti-HMGCR autoantibodies	None
Anti-3-hydroxy- 3-methylglutaryl-coA reductase antibody positivity	None
Anti-3-hydroxy- 3-methylglutaryl-coA reductase antibodies	None
Increased anti-plant product IgE antibody level	None
Anti-Ma1 antibody positivity	None
Oligoclonal elevation of circulating IgG	None
Agranulocytosis	None
Infectious encephalitis	None
Brain inflammation	None
Recurrent streptococcus pneumoniae infections	None
Abnormal circulating interleukin 21 concentration	None
Chronic partially decreased circulating IgG4	None
Chronic partially decreased IgG4 in blood	None
Fulminant hepatitis	None
Recurrent gram-negative bacterial infections	None
Exercise-induced asthma	None
Focal active colitis	None
Presence of anti-N-methyl-D-aspartate Receptor antibody in blood	None
Presence of anti-NMDAR antibody in blood	None
Anti-NMDA receptor antibody positivity	None
Unusual infection	None
Cheekbone rash	None
Butterfly rash	None
Malar rash	None
Anti-GD1a IgG antibody positivity	None
CyN	None
Cyclic neutropenia	None
Recurrent bronchiolitis	None
Decreased proportion of immature gamma-delta T-lymphocytes	None
Decreased proportion of immature gamma-delta T lymphocytes	None
Decreased proportion of immature gamma-delta T cells	None
Decreased proportion of immature gamma-delta T-cells	None
Reduced proportion of immature gamma-delta T cells	None
Anti-KS antibody positivity	None
Anti-asparaginyl-tRNA synthetase antibody positivity	None
Increased anti-house dust mite IgE antibody level	None
Increased anti-house dust IgE antibody level	None
Increased level of anti-house dust IgE antibody	None
Partial functional complement factor D deficiency	None
Partial functional adipsin deficiency	None
Partial functional factor d deficiency	None
Abnormal T-cell activation	None
Abnormal T-lymphocyte activation	None
Abnormal T cell activation	None
Abnormal T lymphocyte activation	None
Erysipelas	None
St. Anthony's Fire	None
Abnormal spleen physiology	None
Increased circulating interleukin 21 concentration	None
Disseminated nontuberculous mycobacterial infection	None
Severe adenovirus infection	None
Generalised periodontitis	None
Generalized gum disease	None
Generalised periodontal disease	None
Generalized periodontal disease	None
Generalized periodontitis	None
Widespread gum disease	None
Generalised gum disease	None
Increased proportion of effector memory CD8-positive, alpha-beta T cells, terminally differentiated	None
Increased proportion of CD8-positive, alpha-beta TEMRA T cells	None
Class IV lupus nephritis	None
Diffuse lupus nephritis	None
Recurrent herpes	None
Susceptibility to herpesvirus	None
Abnormal eosinophil count	None
Anti-GD1b IgM antibody positivity	None
Boil	None
Furuncle	None
Decreased serum complement C6	None
Fluctuating splenomegaly	None
Ectopia of the spleen	None
Ectopic spleen	None
Abnormal spleen location	None
Lipogranulomatosis	None
Decreased eosinophil count	None
Increased levels of IgD	None
Increased serum IgD	None
Elevated serum IgD	None
Increased circulating IgD level	None
IgD hypergammaglobulinemia	None
Increased IgD level	None
Elevated IgD	None
Increased proportion of CD25+ mast cells	None
Anti-SOX1 antibody	None
Anti-Sry-like high mobility group box (SOX) 1 antibody	None
Reduced proportion of naive CD8 T cells	None
Reduced proportion of naive thymus-derived CD8-positive, alpha-beta T cells	None
Decreased proportion of naive CD8 T cells	None
Acinetobacter infection	None
Clonal T cell receptor rearrangement	None
Inflammation of the outer white part of the eye	None
Scleritis	None
Recurrent shingles	None
Cryptococcal meningitis	None
Intestinal lymphangiectasia	None
Unusual virus reactivation	None
Class VI lupus nephritis	None
